Rank,Team,S,W-L,Assists,Per Set
191,Arkansas St. (Sun Belt),116,17-13,"1,326",11.43
192,Louisiana (Sun Belt),110,14-16,"1,255",11.41
193,Siena (MAAC),111,11-18,"1,266",11.41
194,Middle Tenn. (C-USA),117,13-17,"1,334",11.40
195,Valparaiso (MVC),127,14-20,"1,448",11.40
196,San Francisco (WCC),108,8-21,"1,231",11.40
197,Air Force (Mountain West),114,8-22,"1,299",11.39
198,Arkansas (SEC),113,11-19,"1,287",11.39
199,N.C. A&T (MEAC),112,16-14,"1,275",11.38
200,Southern Ill. (MVC),134,14-18,"1,524",11.37
201,Campbell (Big South),108,17-13,"1,228",11.37
202,UC Riverside (Big West),101,6-22,"1,148",11.37
203,SIUE (OVC),112,14-15,"1,271",11.35
204,New Orleans (Southland),111,13-18,"1,259",11.34
205,Nicholls St. (Southland),106,11-16,"1,201",11.33
206,Charleston So. (Big South),103,14-15,"1,167",11.33
207,Xavier (Big East),99,10-17,"1,121",11.32
208,Rhode Island (Atlantic 10),95,8-18,"1,075",11.32
209,James Madison (CAA),93,20-8,"1,052",11.31
210,LIU (NEC),105,12-17,"1,187",11.30
211,Jacksonville (ASUN),116,10-21,"1,310",11.29
212,LSU (SEC),102,15-13,"1,151",11.28
213,Michigan St. (Big Ten),110,15-15,"1,237",11.25
214,McNeese (Southland),106,11-17,"1,192",11.25
215,Portland (WCC),107,11-18,"1,203",11.24
216,Utah Valley (WAC),113,11-19,"1,269",11.23
217,UMBC (America East),88,7-16,988,11.23
218,South Alabama (Sun Belt),119,20-11,"1,336",11.23
219,Wofford (SoCon),116,15-16,"1,301",11.22
220,Stetson (ASUN),103,12-15,"1,155",11.21
221,Stony Brook (America East),96,9-17,"1,075",11.20
222,UConn (AAC),104,12-16,"1,164",11.19
223,South Fla. (AAC),113,7-23,"1,262",11.17
224,Seattle U (WAC),120,13-18,"1,340",11.17
225,Southeast Mo. St. (OVC),126,23-10,"1,405",11.15
226,Col. of Charleston (CAA),102,7-21,"1,137",11.15
227,Indiana (Big Ten),126,14-19,"1,402",11.13
228,Ole Miss (SEC),117,14-15,"1,301",11.12
229,CSU Bakersfield (WAC),114,9-19,"1,267",11.11
230,Duke (ACC),110,11-19,"1,222",11.11
231,Louisiana Tech (C-USA),103,13-15,"1,144",11.11
232,UTRGV (WAC),117,14-17,"1,299",11.10
233,Eastern Ky. (OVC),99,9-21,"1,098",11.09
234,Georgia St. (Sun Belt),105,10-17,"1,164",11.09
235,UTEP (C-USA),106,13-15,"1,174",11.08
236,UNC Greensboro (SoCon),97,10-17,"1,072",11.05
237,Prairie View (SWAC),136,17-21,"1,503",11.05
238,Duquesne (Atlantic 10),94,10-17,"1,038",11.04
239,Albany (NY) (America East),96,16-10,"1,060",11.04
240,Indiana St. (MVC),103,7-21,"1,137",11.04
241,New Hampshire (America East),98,17-9,"1,080",11.02
242,Oral Roberts (Summit League),123,8-23,"1,355",11.02
243,Houston (AAC),137,16-16,"1,509",11.01
244,Northern Ill. (MAC),110,8-22,"1,209",10.99
245,Furman (SoCon),109,7-20,"1,196",10.97
246,Canisius (MAAC),123,15-16,"1,349",10.97
247,Charlotte (C-USA),112,16-15,"1,228",10.96
248,Colorado (Pac-12),106,13-17,"1,162",10.96
249,Delaware St. (MEAC),110,11-18,"1,204",10.95
250,Butler (Big East),115,14-16,"1,256",10.92
251,Davidson (Atlantic 10),105,10-18,"1,144",10.90
251,Wake Forest (ACC),105,14-15,"1,144",10.90
253,Idaho (Big Sky),124,13-18,"1,351",10.90
254,Alabama (SEC),105,12-17,"1,142",10.88
255,Wichita St. (AAC),105,9-19,"1,141",10.87
256,Toledo (MAC),108,9-19,"1,172",10.85
257,Harvard (Ivy League),88,5-18,953,10.83
258,Drake (MVC),125,9-22,"1,353",10.82
259,St. Francis Brooklyn (NEC),119,14-17,"1,288",10.82
260,Niagara (MAAC),105,13-16,"1,136",10.82
261,New Mexico (Mountain West),115,11-19,"1,242",10.80
262,Cal St. Fullerton (Big West),100,12-15,"1,079",10.79
263,Belmont (OVC),108,2-29,"1,164",10.78
264,Alabama St. (SWAC),139,17-21,"1,498",10.78
265,Georgetown (Big East),122,13-19,"1,313",10.76
266,Coppin St. (MEAC),114,13-18,"1,226",10.75
267,Dartmouth (Ivy League),89,10-15,957,10.75
268,La.-Monroe (Sun Belt),112,12-20,"1,204",10.75
269,Mississippi St. (SEC),114,13-17,"1,224",10.74
270,Lafayette (Patriot),125,13-19,"1,342",10.74
271,Southern Miss. (C-USA),102,3-26,"1,095",10.74
272,UNC Asheville (Big South),90,13-13,966,10.73
273,Virginia Tech (ACC),121,11-20,"1,296",10.71
274,Saint Mary's (CA) (WCC),106,11-17,"1,131",10.67
275,Fordham (Atlantic 10),106,12-14,"1,129",10.65
276,Chicago St. (WAC),119,5-26,"1,264",10.62
277,Holy Cross (Patriot),111,5-25,"1,177",10.60
278,Hampton (Big South),95,8-17,"1,006",10.59
279,Texas Southern (SWAC),94,10-16,994,10.57
280,Auburn (SEC),103,7-22,"1,089",10.57
281,George Washington (Atlantic 10),100,15-14,"1,055",10.55
282,Kansas (Big 12),96,9-17,"1,011",10.53
283,Abilene Christian (Southland),93,7-19,979,10.53
284,UC Irvine (Big West),105,5-23,"1,104",10.51
285,Maryland (Big Ten),127,13-19,"1,331",10.48
286,Gonzaga (WCC),110,11-19,"1,152",10.47
287,Youngstown St. (Horizon),101,8-21,"1,057",10.47
288,Montana (Big Sky),112,7-23,"1,169",10.44
289,Alabama A&M (SWAC),111,18-14,"1,158",10.43
290,George Mason (Atlantic 10),97,4-22,"1,011",10.42
291,IUPUI (Horizon),115,7-22,"1,198",10.42
292,Providence (Big East),111,6-24,"1,155",10.41
293,Jackson St. (SWAC),126,17-19,"1,311",10.40
294,UNCW (CAA),117,14-15,"1,216",10.39
295,Idaho St. (Big Sky),115,7-23,"1,195",10.39
296,South Dakota St. (Summit League),107,6-22,"1,110",10.37
297,Tennessee St. (OVC),104,12-17,"1,078",10.37
298,The Citadel (SoCon),111,9-20,"1,150",10.36
299,Radford (Big South),95,10-16,979,10.31
300,Portland St. (Big Sky),111,10-19,"1,142",10.29
301,N.C. Central (MEAC),123,8-24,"1,265",10.28
302,UMES (MEAC),127,12-19,"1,306",10.28
303,North Dakota (Summit League),113,12-18,"1,162",10.28
304,Rutgers (Big Ten),105,8-23,"1,078",10.27
305,Chattanooga (SoCon),115,7-23,"1,180",10.26
306,Iona (MAAC),101,5-23,"1,033",10.23
307,William & Mary (CAA),97,7-20,989,10.20
308,Western Ill. (Summit League),107,6-23,"1,089",10.18
309,Ga. Southern (Sun Belt),101,7-20,"1,025",10.15
310,USC Upstate (Big South),101,7-19,"1,022",10.12
311,Eastern Wash. (Big Sky),113,6-24,"1,140",10.09
312,UIW (Southland),114,7-23,"1,147",10.06
313,Seton Hall (Big East),114,8-24,"1,143",10.03
314,Eastern Ill. (OVC),106,3-26,"1,049",9.90
315,Little Rock (Sun Belt),95,6-22,935,9.84
316,Bethune-Cookman (MEAC),118,8-24,"1,121",9.50
317,Florida A&M (MEAC),106,9-18,987,9.31
318,Manhattan (MAAC),115,8-23,"1,068",9.29
319,Saint Francis (PA) (NEC),93,3-25,861,9.26
320,Ark.-Pine Bluff (SWAC),124,10-24,"1,133",9.14
321,Saint Peter's (MAAC),109,3-27,975,8.94
322,NJIT (ASUN),110,1-31,973,8.85
323,Gardner-Webb (Big South),84,3-22,729,8.68
324,Fairleigh Dickinson (NEC),98,4-26,838,8.55
325,Binghamton (America East),74,0-23,628,8.49
326,Utah St. (Mountain West),108,2-28,913,8.45
327,Norfolk St. (MEAC),86,2-23,725,8.43
328,Grambling (SWAC),109,8-24,902,8.28
329,Southern U. (SWAC),108,10-20,868,8.04
330,Alcorn (SWAC),102,7-23,800,7.84
331,Mississippi Val. (SWAC),108,4-30,802,7.43
332,South Carolina St. (MEAC),77,0-25,542,7.04
