airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0..15,all_n_16..30,all_n_31..45,all_n_46..60,all_n_61..90,all_n_91..120,all_n_120..,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,1/1/2016,0000 - 0100,8,15,5,10,8,15,150,0,0,0,0,0,0,4,154,1,6
ORD,Terminal 5,1/1/2016,0400 - 0500,28,40,29,40,28,40,1,84,54,0,0,0,0,3,142,1,10
ORD,Terminal 5,1/1/2016,0500 - 0600,12,44,23,50,18,50,189,78,57,14,0,0,0,7,345,1,10
ORD,Terminal 5,1/1/2016,0700 - 0800,4,25,15,46,11,46,174,53,19,4,0,0,0,6,256,2,15
ORD,Terminal 5,1/1/2016,0800 - 0900,8,38,17,37,13,38,287,126,40,0,0,0,0,15,468,2,15
ORD,Terminal 5,1/1/2016,0900 - 1000,5,14,23,40,20,40,71,80,50,0,0,0,0,7,208,1,15
ORD,Terminal 5,1/1/2016,1000 - 1100,40,77,55,84,47,84,108,0,2,60,184,0,0,19,373,2,21
ORD,Terminal 5,1/1/2016,1100 - 1200,3,15,4,15,3,15,198,0,0,0,0,0,0,6,204,1,20
ORD,Terminal 5,1/1/2016,1200 - 1300,8,34,12,33,10,34,571,128,8,0,0,0,0,32,739,3,26
ORD,Terminal 5,1/1/2016,1300 - 1400,13,52,22,54,17,54,594,372,144,14,0,0,0,37,1161,5,29
ORD,Terminal 5,1/1/2016,1400 - 1500,13,66,19,73,15,73,1422,502,209,79,18,0,0,78,2308,9,30
ORD,Terminal 5,1/1/2016,1500 - 1600,7,27,14,37,10,37,1076,287,25,0,0,0,0,52,1440,8,39
ORD,Terminal 5,1/1/2016,1600 - 1700,8,21,11,24,9,24,649,105,0,0,0,0,0,23,777,4,36
ORD,Terminal 5,1/1/2016,1700 - 1800,12,33,11,33,12,33,1047,483,3,0,0,0,0,49,1582,10,34
ORD,Terminal 5,1/1/2016,1800 - 1900,12,39,10,36,12,39,1239,443,94,0,0,0,0,59,1835,10,31
ORD,Terminal 5,1/1/2016,1900 - 2000,9,22,12,22,9,22,468,61,0,0,0,0,0,13,542,3,17
ORD,Terminal 5,1/1/2016,2100 - 2200,6,15,8,8,6,15,168,0,0,0,0,0,0,9,177,1,7
ORD,Terminal 5,1/1/2016,2300 - 0000,9,25,9,27,9,27,247,59,0,0,0,0,0,9,315,2,8
ORD,Terminal 5,1/2/2016,0000 - 0100,21,29,19,28,20,29,17,104,0,0,0,0,0,2,123,1,6
ORD,Terminal 5,1/2/2016,0400 - 0500,22,40,25,38,23,40,20,77,23,0,0,0,0,4,124,1,10
ORD,Terminal 5,1/2/2016,0500 - 0600,5,22,5,15,5,22,284,4,0,0,0,0,0,6,294,2,9
