zip,households,income
54135,987,38906
54136,2710,48268
54137,472,56324
54138,421,47578
54139,1245,62702
54140,3897,59367
54141,853,61637
54143,6888,43197
54149,611,44850
54150,353,33646
54151,1507,49494
54153,2933,49135
54154,2374,52972
54155,2629,61910
54156,705,39441
54157,2353,50462
54159,619,61146
54160,105,58036
54161,1247,50080
54162,3435,65777
54165,3066,63929
54166,7336,49943
54169,1052,97969
54170,1358,63167
54171,1332,86463
54173,1649,79795
54174,1294,46818
54175,477,54306
54177,1429,40098
54180,1255,75791
54201,2199,47152
54202,695,55256
54204,728,66548
54205,775,64896
54207,64,64643
54208,2357,71250
54209,610,66538
54210,426,61429
54211,140,82500
54212,491,74583
54213,534,56111
54214,110,53250
54216,2718,58333
54217,2793,67873
54220,17063,47428
54227,602,75156
54228,1087,58313
54229,1783,74245
54230,1807,59961
54232,350,44167
54234,809,55388
54235,8064,54777
54241,6504,44315
54245,884,58750
54246,399,58542
54247,918,67037
54301,9207,55798
54302,12914,39676
54303,11946,38658
54304,12479,47439
54307,0,NA
54311,13398,61119
54313,14440,79744
54401,13147,47627
54403,10472,47827
54405,1122,43750
54406,1340,65565
54407,604,67292
54408,439,47656
54409,5732,42903
54410,829,61595
54411,1894,57031
54412,840,61554
54413,70,44167
54414,1259,52740
54416,683,36336
54417,18,33333
54418,396,57000
54420,465,51625
54421,1249,52813
54422,377,48958
54423,860,74500
54424,725,61080
54425,785,53884
54426,1612,61302
54427,477,51719
54428,464,41797
54430,54,66250
54433,723,45815
54435,945,53355
54436,775,50433
54437,1100,51181
54440,1212,60323
54441,323,78125
54442,417,57083
54443,896,58000
54446,1134,55667
54447,214,44000
54448,1657,70120
54449,11526,54167
54450,164,39375
54451,5084,50389
54452,8140,56498
54454,539,52083
54455,6932,73324
54456,2553,47177
54457,3571,49867
54458,37,46250
54459,528,44375
54460,983,43080
54462,172,41667
54463,259,53438
54465,299,37014
54466,1194,51223
54467,5649,61388
54469,681,49602
54470,905,48259
54471,696,70833
54473,1106,53688
54474,1678,53883
54475,682,62614
54476,7553,60633
54479,1468,54787
54480,577,49276
54481,11525,47423
54482,3809,65135
54484,1963,64261
54485,146,38333
54486,1006,45427
54487,4467,50792
54488,463,51146
54489,654,59886
54490,365,53542
54491,756,40875
54493,265,44205
54494,11741,54200
54495,3446,38304
54498,881,47056
54499,1209,48750
54501,8224,53750
54511,554,46310
54512,427,49866
54513,200,45227
54514,841,49965
54515,214,43000
54517,43,34464
54519,627,46719
54520,1939,41193
54521,3804,45609
54524,361,47236
54525,119,39821
54526,355,42431
54527,461,35982
54529,479,54554
54530,359,39034
54531,580,60000
54534,1150,36250
54536,103,26806
54537,213,45375
54538,1509,28255
54539,564,47917
54540,463,43523
54541,481,50644
54542,219,29471
54545,481,57639
54546,535,36713
54547,792,42500
54548,2120,55045
54550,274,40962
54552,2060,44036
54554,495,43162
54555,2309,47064
54556,582,43918
54557,471,57279
54558,997,39707
54559,344,44318
54560,285,61198
54561,6,NA
54562,855,52863
54563,311,46023
54564,196,52500
54565,33,NA
54566,590,47625
54568,2357,39678
54601,20046,47362
54603,6352,45678
54610,713,55673
54611,489,50625
54612,1905,52917
54613,809,42067
54614,1116,62241
54615,4031,51943
54616,989,49291
54618,796,60313
