Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US53110,53110,ZCTA5 53110,18320,18320,18320,0,0,0
8600000US53114,53114,ZCTA5 53114,2678,1552,0,1552,1126,0
8600000US53115,53115,ZCTA5 53115,15788,10647,0,10647,5141,0
8600000US53118,53118,ZCTA5 53118,7202,3058,3058,0,4144,0
8600000US53119,53119,ZCTA5 53119,5608,2790,0,2790,2818,0
8600000US53120,53120,ZCTA5 53120,9679,5479,0,5479,4200,0
8600000US53121,53121,ZCTA5 53121,19045,12484,0,12484,6561,0
8600000US53122,53122,ZCTA5 53122,5985,5985,5985,0,0,0
8600000US53125,53125,ZCTA5 53125,1895,1341,0,1341,554,0
8600000US53126,53126,ZCTA5 53126,6431,1529,1529,0,4902,0
8600000US53128,53128,ZCTA5 53128,8947,7587,7587,0,1360,0
8600000US53129,53129,ZCTA5 53129,13973,13973,13973,0,0,0
8600000US53130,53130,ZCTA5 53130,7755,7755,7755,0,0,0
8600000US53132,53132,ZCTA5 53132,34863,33334,33334,0,1529,0
8600000US53137,53137,ZCTA5 53137,1702,0,0,0,1702,0
8600000US53139,53139,ZCTA5 53139,2802,1066,0,1066,1736,0
8600000US53140,53140,ZCTA5 53140,30017,29753,29753,0,264,0
8600000US53142,53142,ZCTA5 53142,32375,31696,31696,0,679,0
8600000US53143,53143,ZCTA5 53143,23264,23264,23264,0,0,0
8600000US53144,53144,ZCTA5 53144,27256,24381,24381,0,2875,0
8600000US53146,53146,ZCTA5 53146,7458,5313,5313,0,2145,0
8600000US53147,53147,ZCTA5 53147,16457,12120,113,12007,4337,0
8600000US53149,53149,ZCTA5 53149,19057,14070,55,14015,4987,0
8600000US53150,53150,ZCTA5 53150,24850,23025,23025,0,1825,0
8600000US53151,53151,ZCTA5 53151,31987,31987,31987,0,0,0
8600000US53153,53153,ZCTA5 53153,2328,1941,0,1941,387,0
8600000US53154,53154,ZCTA5 53154,34451,34160,34160,0,291,0
8600000US53156,53156,ZCTA5 53156,2992,0,0,0,2992,0
8600000US53158,53158,ZCTA5 53158,15917,15006,15006,0,911,0
8600000US53167,53167,ZCTA5 53167,399,399,0,399,0,0
8600000US53168,53168,ZCTA5 53168,8643,6311,6311,0,2332,0
8600000US53170,53170,ZCTA5 53170,2380,2380,2380,0,0,0
8600000US53172,53172,ZCTA5 53172,21156,21156,21156,0,0,0
8600000US53177,53177,ZCTA5 53177,8329,6858,6858,0,1471,0
8600000US53178,53178,ZCTA5 53178,2626,0,0,0,2626,0
8600000US53179,53179,ZCTA5 53179,6310,4807,4807,0,1503,0
8600000US53181,53181,ZCTA5 53181,7357,6416,6416,0,941,0
8600000US53182,53182,ZCTA5 53182,9412,6335,428,5907,3077,0
8600000US53183,53183,ZCTA5 53183,2815,2638,2638,0,177,0
8600000US53184,53184,ZCTA5 53184,4271,3042,0,3042,1229,0
