Rank,Team,S,W-L,Aces,Per Set
223,Lehigh (Patriot),109,14-17,133,1.22
224,Quinnipiac (MAAC),114,14-16,139,1.22
225,James Madison (CAA),93,20-8,113,1.22
226,UC Santa Barbara (Big West),98,22-5,119,1.21
227,Evansville (MVC),117,16-14,142,1.21
228,Bowling Green (MAC),120,19-12,145,1.21
229,William & Mary (CAA),97,7-20,117,1.21
230,Miami (OH) (MAC),103,17-11,124,1.20
231,Liberty (ASUN),109,19-11,131,1.20
232,Ohio St. (Big Ten),114,15-17,137,1.20
233,Buffalo (MAC),119,13-17,143,1.20
234,George Mason (Atlantic 10),97,4-22,116,1.20
235,Tennessee (SEC),108,15-13,129,1.19
235,San Francisco (WCC),108,8-21,129,1.19
237,Austin Peay (OVC),118,11-20,139,1.18
238,UCF (AAC),114,24-7,134,1.18
239,DePaul (Big East),121,14-16,142,1.17
240,Michigan St. (Big Ten),110,15-15,129,1.17
241,Davidson (Atlantic 10),105,10-18,123,1.17
242,Florida St. (ACC),100,19-9,117,1.17
243,Central Ark. (Southland),124,16-14,145,1.17
244,East Carolina (AAC),113,19-11,132,1.17
245,Missouri St. (MVC),125,10-22,146,1.17
246,Texas Tech (Big 12),116,17-13,134,1.16
247,Alabama (SEC),105,12-17,121,1.15
248,Jackson St. (SWAC),126,17-19,145,1.15
249,Duquesne (Atlantic 10),94,10-17,108,1.15
250,Loyola Maryland (Patriot),122,13-18,140,1.15
251,Minnesota (Big Ten),95,22-5,109,1.15
252,Utah (Pac-12),124,22-9,142,1.15
253,Bethune-Cookman (MEAC),118,8-24,135,1.14
254,Drake (MVC),125,9-22,143,1.14
255,South Carolina St. (MEAC),77,0-25,88,1.14
256,Valparaiso (MVC),127,14-20,145,1.14
257,New Mexico (Mountain West),115,11-19,131,1.14
257,Idaho St. (Big Sky),115,7-23,131,1.14
259,UIC (Horizon),116,20-11,132,1.14
260,Arizona St. (Pac-12),124,17-14,141,1.14
261,Indiana (Big Ten),126,14-19,143,1.13
262,Montana (Big Sky),112,7-23,127,1.13
263,South Fla. (AAC),113,7-23,128,1.13
264,FIU (C-USA),103,10-16,116,1.13
265,North Dakota St. (Summit League),112,13-16,126,1.13
265,Charlotte (C-USA),112,16-15,126,1.13
267,Iowa (Big Ten),115,10-21,129,1.12
268,Cleveland St. (Horizon),108,8-19,121,1.12
269,Northwestern (Big Ten),118,14-18,132,1.12
270,Wyoming (Mountain West),111,21-8,124,1.12
271,Niagara (MAAC),105,13-16,117,1.11
272,South Dakota St. (Summit League),107,6-22,119,1.11
273,TCU (Big 12),93,9-17,103,1.11
274,Green Bay (Horizon),114,21-9,126,1.11
275,Fordham (Atlantic 10),106,12-14,117,1.10
276,Utah St. (Mountain West),108,2-28,119,1.10
277,LSU (SEC),102,15-13,112,1.10
278,Columbia (Ivy League),93,12-12,102,1.10
279,Little Rock (Sun Belt),95,6-22,104,1.09
280,Oakland (Horizon),108,15-14,118,1.09
280,Southern U. (SWAC),108,10-20,118,1.09
282,Northern Ill. (MAC),110,8-22,120,1.09
282,Eastern Ky. (OVC),99,9-21,108,1.09
284,Tennessee Tech (OVC),112,13-17,122,1.09
285,Mississippi St. (SEC),114,13-17,124,1.09
