Id,Id2,Geography,Percent; Estimate; Population 25 years and over,Percent Males; Estimate; Population 25 years and over,Percent Females; Estimate; Population 25 years and over,Percent; Estimate; Population 25 years and over - Less than 9th grade,Percent Males; Estimate; Population 25 years and over - Less than 9th grade,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree","Percent Males; Estimate; Population 25 years and over - Some college, no degree","Percent Females; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent Males; Estimate; Population 25 years and over - Associate's degree,Percent Females; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent Males; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent high school graduate or higher,Percent Females; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher
8600000US54821,54821,ZCTA5 54821,(X),(X),(X),1.6,2.2,1.0,4.9,5.4,4.4,32.8,36.0,29.8,22.5,20.6,24.3,11.7,6.4,16.6,17.5,19.1,16.1,9.0,10.3,7.9,93.5,92.3,94.6,26.6,29.4,23.9
8600000US54822,54822,ZCTA5 54822,(X),(X),(X),2.0,3.1,0.9,7.8,7.7,8.0,37.9,39.9,35.7,17.4,16.3,18.5,17.8,16.1,19.6,11.3,12.0,10.5,5.8,4.8,6.8,90.1,89.2,91.1,17.1,16.9,17.3
8600000US54824,54824,ZCTA5 54824,(X),(X),(X),2.7,3.2,2.3,7.4,9.8,4.9,41.1,40.4,41.8,24.8,27.3,22.3,11.7,8.8,14.6,9.2,7.7,10.7,3.2,2.8,3.5,89.9,87.0,92.8,12.3,10.5,14.2
8600000US54826,54826,ZCTA5 54826,(X),(X),(X),3.4,4.6,2.3,4.8,6.7,3.0,40.3,42.3,38.5,19.0,19.7,18.3,15.6,10.6,20.3,10.3,7.0,13.3,6.7,9.2,4.3,91.8,88.7,94.7,16.9,16.2,17.6
8600000US54827,54827,ZCTA5 54827,(X),(X),(X),2.1,3.7,0.0,2.1,3.7,0.0,18.1,19.3,16.5,30.3,32.1,27.8,10.1,10.1,10.1,24.5,22.9,26.6,12.8,8.3,19.0,95.7,92.7,100.0,37.2,31.2,45.6
8600000US54828,54828,ZCTA5 54828,(X),(X),(X),2.7,3.1,2.3,4.4,5.4,3.5,40.2,38.3,42.0,25.3,23.0,27.6,8.1,8.0,8.2,9.8,12.3,7.4,9.5,10.0,8.9,92.9,91.6,94.2,19.3,22.2,16.3
8600000US54829,54829,ZCTA5 54829,(X),(X),(X),2.6,3.0,2.2,5.7,5.1,6.3,38.6,41.5,35.8,19.5,19.9,19.1,9.7,8.2,11.2,15.3,12.6,17.8,8.6,9.6,7.7,91.7,91.9,91.5,23.9,22.2,25.4
8600000US54830,54830,ZCTA5 54830,(X),(X),(X),1.5,1.5,1.6,5.2,6.4,4.0,40.9,37.2,44.7,23.5,27.2,19.7,9.0,7.6,10.5,12.3,12.3,12.2,7.5,7.8,7.3,93.2,92.1,94.4,19.8,20.1,19.5
8600000US54832,54832,ZCTA5 54832,(X),(X),(X),2.5,1.2,3.8,8.9,11.8,5.8,25.5,22.4,28.8,27.3,27.6,26.9,5.8,7.1,4.5,23.0,22.4,23.7,7.1,7.6,6.4,88.7,87.1,90.4,30.1,30.0,30.1
8600000US54835,54835,ZCTA5 54835,(X),(X),(X),3.3,4.0,2.5,5.6,3.7,7.5,48.4,51.9,44.7,20.5,19.3,21.7,11.3,11.2,11.3,9.6,9.5,9.7,1.4,0.3,2.5,91.1,92.2,89.9,11.0,9.8,12.3
8600000US54836,54836,ZCTA5 54836,(X),(X),(X),0.4,0.9,0.0,3.8,4.6,3.1,41.2,46.9,36.2,27.2,27.7,26.7,12.6,11.1,13.8,11.5,5.4,16.9,3.4,3.4,3.3,95.8,94.6,96.9,14.9,8.9,20.3
8600000US54837,54837,ZCTA5 54837,(X),(X),(X),2.7,3.1,2.3,7.3,7.9,6.5,41.5,43.8,39.0,22.7,21.7,23.9,9.7,9.4,10.1,10.6,9.7,11.7,5.3,4.3,6.5,90.0,89.0,91.2,16.0,14.0,18.2
8600000US54838,54838,ZCTA5 54838,(X),(X),(X),1.4,2.0,0.5,5.5,6.5,4.0,33.8,34.4,32.9,28.1,26.8,29.8,12.6,13.4,11.5,13.5,11.7,16.0,5.2,5.0,5.4,93.2,91.4,95.5,18.7,16.8,21.4
8600000US54839,54839,ZCTA5 54839,(X),(X),(X),3.2,7.5,0.0,0.9,0.0,1.6,46.3,46.2,46.3,16.7,16.1,17.1,19.4,18.3,20.3,7.4,2.2,11.4,6.0,9.7,3.3,95.8,92.5,98.4,13.4,11.8,14.6
8600000US54840,54840,ZCTA5 54840,(X),(X),(X),1.7,1.6,1.7,5.7,7.4,4.0,39.8,41.7,37.9,21.6,21.0,22.2,12.8,11.1,14.5,12.7,12.1,13.3,5.7,5.1,6.4,92.6,91.0,94.3,18.4,17.2,19.7
8600000US54841,54841,ZCTA5 54841,(X),(X),(X),2.5,4.1,0.9,9.2,10.6,7.7,35.0,40.7,29.1,25.0,23.6,26.5,15.0,12.2,17.9,8.8,7.3,10.3,4.6,1.6,7.7,88.3,85.4,91.5,13.3,8.9,17.9
8600000US54842,54842,ZCTA5 54842,(X),(X),(X),0.0,0.0,0.0,2.9,6.1,0.0,12.5,10.2,14.5,31.7,26.5,36.4,35.6,38.8,32.7,17.3,18.4,16.4,0.0,0.0,0.0,97.1,93.9,100.0,17.3,18.4,16.4
8600000US54843,54843,ZCTA5 54843,(X),(X),(X),1.6,1.8,1.3,6.5,7.0,6.1,31.2,33.1,29.3,23.0,22.2,23.8,12.8,9.0,16.5,16.4,16.6,16.2,8.5,10.3,6.8,91.9,91.2,92.6,24.9,26.9,23.0
8600000US54844,54844,ZCTA5 54844,(X),(X),(X),0.9,1.6,0.0,0.0,0.0,0.0,21.9,23.2,20.4,23.2,27.2,18.4,13.2,7.2,20.4,19.7,24.8,13.6,21.1,16.0,27.2,99.1,98.4,100.0,40.8,40.8,40.8
8600000US54845,54845,ZCTA5 54845,(X),(X),(X),0.0,0.0,0.0,12.7,16.1,9.3,32.7,25.0,40.7,46.4,46.4,46.3,3.6,7.1,0.0,4.5,5.4,3.7,0.0,0.0,0.0,87.3,83.9,90.7,4.5,5.4,3.7
8600000US54846,54846,ZCTA5 54846,(X),(X),(X),1.4,2.7,0.0,7.9,7.6,8.3,35.3,37.3,33.0,23.4,26.7,19.9,12.8,12.4,13.1,14.2,10.7,18.0,5.1,2.7,7.8,90.7,89.8,91.7,19.3,13.3,25.7
8600000US54847,54847,ZCTA5 54847,(X),(X),(X),1.3,1.3,1.2,2.7,2.5,2.9,37.7,40.4,34.9,23.6,21.8,25.4,11.8,11.6,12.0,13.2,12.2,14.2,9.7,10.2,9.3,96.0,96.2,95.9,22.9,22.4,23.5
8600000US54848,54848,ZCTA5 54848,(X),(X),(X),3.9,4.5,3.4,7.2,8.0,6.6,42.9,43.1,42.8,17.9,19.0,16.8,10.8,11.0,10.6,11.7,8.6,14.4,5.5,5.7,5.4,88.8,87.5,90.0,17.2,14.3,19.9
8600000US54849,54849,ZCTA5 54849,(X),(X),(X),0.5,0.3,0.7,4.2,5.2,3.1,27.9,30.4,25.5,21.2,22.1,20.3,11.0,9.5,12.6,23.5,20.9,26.2,11.7,11.7,11.7,95.4,94.5,96.2,35.2,32.6,37.9
8600000US54850,54850,ZCTA5 54850,(X),(X),(X),4.7,6.2,3.6,0.0,0.0,0.0,19.6,20.0,19.3,13.5,20.0,8.4,4.1,1.5,6.0,35.1,27.7,41.0,23.0,24.6,21.7,95.3,93.8,96.4,58.1,52.3,62.7
8600000US54853,54853,ZCTA5 54853,(X),(X),(X),2.3,3.2,1.5,5.1,7.3,2.9,39.6,42.4,36.8,24.0,22.4,25.7,10.3,7.8,12.7,13.3,12.5,14.0,5.4,4.5,6.3,92.6,89.5,95.6,18.7,17.0,20.4
8600000US54854,54854,ZCTA5 54854,(X),(X),(X),1.5,2.9,0.0,3.1,3.5,2.7,36.7,36.7,36.7,20.5,21.4,19.5,12.9,12.4,13.3,19.2,16.8,21.6,6.3,6.4,6.2,95.5,93.6,97.3,25.4,23.1,27.8
8600000US54855,54855,ZCTA5 54855,(X),(X),(X),0.5,0.9,0.0,7.6,9.5,5.6,45.8,49.3,42.1,16.2,12.2,20.4,15.6,11.8,19.4,9.2,11.3,6.9,5.3,5.0,5.6,92.0,89.6,94.4,14.4,16.3,12.5
8600000US54856,54856,ZCTA5 54856,(X),(X),(X),0.6,1.0,0.2,6.3,7.4,5.0,38.9,44.7,32.2,21.3,20.6,22.1,15.7,12.1,19.8,12.4,10.3,14.9,4.8,3.9,5.9,93.1,91.7,94.9,17.3,14.2,20.8
8600000US54857,54857,ZCTA5 54857,(X),(X),(X),0.0,0.0,0.0,19.1,32.1,0.0,21.3,0.0,52.6,19.1,32.1,0.0,0.0,0.0,0.0,40.4,35.7,47.4,0.0,0.0,0.0,80.9,67.9,100.0,40.4,35.7,47.4
8600000US54858,54858,ZCTA5 54858,(X),(X),(X),2.6,1.6,3.7,5.7,4.4,7.1,42.9,49.5,36.0,24.8,26.0,23.5,8.9,7.1,10.8,10.7,7.0,14.5,4.4,4.4,4.4,91.6,94.0,89.2,15.1,11.4,18.9
8600000US54859,54859,ZCTA5 54859,(X),(X),(X),1.2,1.9,0.5,7.7,6.1,9.4,39.7,38.1,41.5,22.0,21.5,22.5,10.0,10.9,9.1,10.0,10.3,9.8,9.3,11.2,7.2,91.0,91.9,90.1,19.3,21.5,16.9
8600000US54861,54861,ZCTA5 54861,(X),(X),(X),6.2,0.0,8.1,17.5,21.7,16.2,51.5,56.5,50.0,11.3,21.7,8.1,2.1,0.0,2.7,11.3,0.0,14.9,0.0,0.0,0.0,76.3,78.3,75.7,11.3,0.0,14.9
8600000US54862,54862,ZCTA5 54862,(X),(X),(X),3.2,4.0,2.5,12.7,16.0,10.0,52.7,44.0,60.0,14.1,18.0,10.8,8.6,12.0,5.8,6.8,4.0,9.2,1.8,2.0,1.7,84.1,80.0,87.5,8.6,6.0,10.8
8600000US54864,54864,ZCTA5 54864,(X),(X),(X),1.2,1.0,1.3,3.7,5.8,1.5,30.6,35.2,25.8,25.1,22.7,27.5,10.7,10.8,10.5,21.7,18.5,24.9,7.1,5.8,8.4,95.1,93.1,97.2,28.8,24.4,33.3
