Id,Id2,Geography,Percent; Estimate; Population 25 years and over,Percent Males; Estimate; Population 25 years and over,Percent Females; Estimate; Population 25 years and over,Percent; Estimate; Population 25 years and over - Less than 9th grade,Percent Males; Estimate; Population 25 years and over - Less than 9th grade,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree","Percent Males; Estimate; Population 25 years and over - Some college, no degree","Percent Females; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent Males; Estimate; Population 25 years and over - Associate's degree,Percent Females; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent Males; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent high school graduate or higher,Percent Females; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher
8600000US54904,54904,ZCTA5 54904,(X),(X),(X),1.3,1.4,1.1,3.6,4.0,3.3,26.2,25.0,27.4,20.3,21.1,19.6,10.6,11.8,9.5,27.0,26.4,27.6,10.9,10.3,11.5,95.1,94.6,95.6,37.9,36.7,39.1
8600000US54909,54909,ZCTA5 54909,(X),(X),(X),2.4,3.5,1.0,7.6,11.0,3.7,39.7,41.4,37.6,21.3,19.5,23.3,9.4,8.7,10.2,14.2,12.5,16.3,5.4,3.4,7.8,90.1,85.5,95.2,19.7,15.9,24.1
8600000US54911,54911,ZCTA5 54911,(X),(X),(X),3.7,4.1,3.4,4.8,5.4,4.2,30.9,33.0,28.9,21.8,21.5,22.0,9.6,8.4,10.6,19.7,17.7,21.6,9.5,9.8,9.2,91.5,90.5,92.4,29.3,27.5,30.8
8600000US54913,54913,ZCTA5 54913,(X),(X),(X),0.5,0.8,0.2,2.0,2.3,1.8,24.8,25.5,24.2,16.1,15.2,17.0,11.4,11.1,11.7,29.9,29.1,30.6,15.2,16.1,14.4,97.5,96.9,98.0,45.1,45.2,45.0
8600000US54914,54914,ZCTA5 54914,(X),(X),(X),3.6,4.0,3.2,4.5,4.3,4.7,31.0,32.4,29.6,23.5,22.3,24.7,11.0,10.9,11.1,19.0,19.4,18.7,7.4,6.7,8.1,91.9,91.7,92.1,26.4,26.1,26.8
8600000US54915,54915,ZCTA5 54915,(X),(X),(X),3.4,3.4,3.4,4.6,6.0,3.2,27.8,28.1,27.5,19.7,21.3,18.2,11.0,9.6,12.3,25.0,23.8,26.1,8.6,7.8,9.3,92.1,90.6,93.4,33.6,31.6,35.4
8600000US54921,54921,ZCTA5 54921,(X),(X),(X),8.3,9.3,7.4,9.8,13.8,5.7,45.8,46.3,45.2,16.6,14.0,19.3,7.2,5.6,9.0,9.1,9.0,9.3,3.1,2.1,4.1,81.9,77.0,86.9,12.2,11.1,13.4
8600000US54922,54922,ZCTA5 54922,(X),(X),(X),6.7,6.5,6.9,8.8,7.6,10.2,46.1,51.5,40.0,19.9,18.1,21.8,10.1,8.9,11.4,5.1,3.6,6.7,3.3,3.6,2.9,84.4,85.8,82.9,8.4,7.3,9.6
8600000US54923,54923,ZCTA5 54923,(X),(X),(X),3.9,2.7,5.1,8.8,11.1,6.6,43.6,48.9,38.5,19.3,16.8,21.8,8.7,9.1,8.2,10.1,6.0,14.1,5.5,5.3,5.7,87.3,86.2,88.4,15.6,11.3,19.8
8600000US54927,54927,ZCTA5 54927,(X),(X),(X),0.0,0.0,0.0,1.0,0.0,2.1,16.7,27.6,4.7,35.0,36.4,33.3,22.7,18.2,27.6,18.7,10.7,27.6,5.9,7.0,4.7,99.0,100.0,97.9,24.6,17.8,32.3
8600000US54928,54928,ZCTA5 54928,(X),(X),(X),3.6,4.6,2.6,7.1,13.1,1.3,44.8,45.8,43.9,20.8,20.3,21.3,8.4,4.6,12.3,10.7,9.2,12.3,4.5,2.6,6.5,89.3,82.4,96.1,15.3,11.8,18.7
8600000US54929,54929,ZCTA5 54929,(X),(X),(X),4.7,5.8,3.8,6.7,7.7,5.8,40.4,41.3,39.6,21.5,23.2,20.0,11.4,9.6,13.0,12.3,10.0,14.2,3.0,2.2,3.7,88.6,86.4,90.5,15.2,12.2,17.9
8600000US54930,54930,ZCTA5 54930,(X),(X),(X),10.6,12.2,8.8,7.7,7.4,8.1,43.7,46.3,40.9,16.4,14.6,18.3,7.4,4.5,10.4,9.2,9.2,9.2,5.0,5.7,4.3,81.7,80.4,83.1,14.2,14.9,13.5
8600000US54931,54931,ZCTA5 54931,(X),(X),(X),0.0,0.0,0.0,2.0,4.8,0.0,41.7,41.0,42.1,30.9,36.1,27.3,17.6,12.0,21.5,2.5,0.0,4.1,5.4,6.0,5.0,98.0,95.2,100.0,7.8,6.0,9.1
8600000US54932,54932,ZCTA5 54932,(X),(X),(X),1.7,1.4,2.1,2.8,3.3,2.3,37.6,44.7,29.9,20.7,22.1,19.3,14.6,13.9,15.5,13.9,9.2,19.1,8.5,5.5,11.9,95.4,95.3,95.6,22.5,14.6,30.9
8600000US54933,54933,ZCTA5 54933,(X),(X),(X),0.0,0.0,0.0,7.5,9.2,5.6,43.9,44.9,42.7,31.6,38.8,23.6,5.3,2.0,9.0,9.1,1.0,18.0,2.7,4.1,1.1,92.5,90.8,94.4,11.8,5.1,19.1
8600000US54934,54934,ZCTA5 54934,(X),(X),(X),48.7,47.3,50.0,3.9,2.7,4.9,28.9,26.4,31.1,11.2,20.9,2.5,3.0,0.0,5.7,4.3,2.7,5.7,0.0,0.0,0.0,47.4,50.0,45.1,4.3,2.7,5.7
8600000US54935,54935,ZCTA5 54935,(X),(X),(X),3.1,2.4,3.8,5.9,6.9,5.0,35.2,35.3,35.1,21.2,23.2,19.4,10.7,9.4,12.0,17.1,16.4,17.7,6.7,6.2,7.1,90.9,90.6,91.2,23.8,22.6,24.8
8600000US54937,54937,ZCTA5 54937,(X),(X),(X),2.4,2.7,2.2,3.9,4.4,3.4,37.2,37.2,37.2,20.9,19.9,21.8,11.3,11.8,10.8,15.6,15.3,15.9,8.8,8.7,8.8,93.7,92.9,94.4,24.4,24.0,24.7
8600000US54940,54940,ZCTA5 54940,(X),(X),(X),2.7,2.9,2.6,4.4,4.5,4.2,41.7,42.8,40.5,19.4,21.1,17.5,12.1,10.9,13.3,14.3,12.4,16.3,5.5,5.4,5.6,92.9,92.6,93.2,19.8,17.8,21.9
8600000US54941,54941,ZCTA5 54941,(X),(X),(X),1.3,2.0,0.6,3.5,2.4,4.6,30.1,32.4,27.9,20.1,19.4,20.8,12.8,10.7,15.0,21.0,19.8,22.2,11.2,13.4,8.9,95.2,95.6,94.8,32.2,33.2,31.1
8600000US54942,54942,ZCTA5 54942,(X),(X),(X),0.8,0.1,1.4,1.0,1.5,0.6,28.4,24.3,32.2,16.4,15.2,17.6,15.1,16.7,13.7,30.6,33.8,27.7,7.5,8.4,6.7,98.2,98.4,97.9,38.2,42.3,34.4
8600000US54943,54943,ZCTA5 54943,(X),(X),(X),7.4,8.0,6.7,9.9,10.3,9.4,46.8,48.5,44.8,17.1,15.7,18.8,7.5,8.2,6.7,8.5,5.9,11.5,2.9,3.4,2.3,82.7,81.7,84.0,11.4,9.3,13.8
8600000US54944,54944,ZCTA5 54944,(X),(X),(X),1.3,1.2,1.4,2.5,2.7,2.3,37.2,35.8,38.7,17.5,17.4,17.6,16.4,18.2,14.4,19.2,18.5,19.8,6.0,6.1,5.8,96.2,96.0,96.4,25.1,24.6,25.7
8600000US54945,54945,ZCTA5 54945,(X),(X),(X),2.4,2.7,2.1,6.5,7.3,5.5,37.3,37.3,37.3,22.8,22.8,22.9,8.1,7.4,8.8,16.0,16.4,15.4,6.9,6.1,7.9,91.1,89.9,92.4,22.9,22.5,23.3
8600000US54946,54946,ZCTA5 54946,(X),(X),(X),3.9,0.0,14.8,6.9,5.3,11.1,64.7,65.3,63.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,29.3,11.1,0.0,0.0,0.0,89.2,94.7,74.1,24.5,29.3,11.1
8600000US54947,54947,ZCTA5 54947,(X),(X),(X),1.4,0.6,2.2,3.3,4.0,2.5,34.9,39.9,29.4,23.6,20.5,26.9,15.4,16.1,14.7,12.7,10.7,15.0,8.7,8.2,9.2,95.3,95.4,95.3,21.4,18.8,24.2
8600000US54948,54948,ZCTA5 54948,(X),(X),(X),8.4,9.6,7.4,8.4,9.6,7.4,48.1,53.4,43.2,13.6,15.1,12.3,11.0,9.6,12.3,3.9,0.0,7.4,6.5,2.7,9.9,83.1,80.8,85.2,10.4,2.7,17.3
8600000US54949,54949,ZCTA5 54949,(X),(X),(X),2.3,2.5,2.1,8.4,9.2,7.5,47.1,50.4,43.3,20.3,19.0,21.9,9.5,8.1,11.2,9.7,7.7,12.0,2.6,3.1,2.1,89.3,88.2,90.4,12.3,10.8,14.1
8600000US54950,54950,ZCTA5 54950,(X),(X),(X),6.5,8.8,4.2,6.6,10.3,2.8,49.7,49.7,49.7,19.3,18.9,19.6,8.3,6.0,10.7,8.0,4.9,11.1,1.6,1.3,1.9,86.9,80.8,93.0,9.6,6.2,13.0
8600000US54952,54952,ZCTA5 54952,(X),(X),(X),2.2,2.5,1.9,6.0,7.9,4.3,35.4,35.8,35.0,22.6,20.7,24.4,10.3,10.7,9.8,16.9,15.0,18.6,6.6,7.3,6.0,91.8,89.6,93.8,23.5,22.3,24.6
8600000US54956,54956,ZCTA5 54956,(X),(X),(X),1.2,1.2,1.3,3.8,4.4,3.3,30.9,30.6,31.3,18.6,18.6,18.5,12.0,13.6,10.5,22.9,20.6,25.1,10.6,11.2,10.0,94.9,94.5,95.4,33.5,31.8,35.1
8600000US54960,54960,ZCTA5 54960,(X),(X),(X),2.6,3.9,1.4,8.8,8.7,9.0,46.2,47.5,44.9,22.0,20.8,23.2,5.4,5.3,5.5,9.6,7.9,11.3,5.3,5.9,4.8,88.6,87.5,89.7,15.0,13.8,16.1
8600000US54961,54961,ZCTA5 54961,(X),(X),(X),2.0,2.2,1.9,6.3,8.3,4.5,45.2,47.9,42.5,18.0,17.4,18.5,10.1,10.2,10.0,13.5,9.2,17.6,4.9,4.8,5.0,91.6,89.6,93.6,18.4,14.1,22.6
8600000US54962,54962,ZCTA5 54962,(X),(X),(X),1.7,1.9,1.5,9.7,9.4,10.1,47.2,50.3,43.5,21.7,21.7,21.7,8.3,5.8,11.1,7.1,6.7,7.7,4.3,4.2,4.4,88.6,88.7,88.4,11.4,10.9,12.1
8600000US54963,54963,ZCTA5 54963,(X),(X),(X),2.5,3.9,1.1,6.6,6.8,6.4,41.2,42.2,40.1,15.5,18.0,12.9,11.4,7.5,15.6,15.7,12.6,19.0,7.0,9.1,4.9,90.9,89.3,92.5,22.7,21.6,23.9
8600000US54964,54964,ZCTA5 54964,(X),(X),(X),1.8,2.2,1.4,6.9,6.5,7.3,39.4,43.8,34.7,16.6,12.4,21.0,16.0,20.2,11.8,13.0,11.6,14.6,6.3,3.5,9.2,91.4,91.4,91.3,19.3,15.1,23.8
8600000US54965,54965,ZCTA5 54965,(X),(X),(X),2.7,3.5,1.8,6.5,8.0,5.0,48.2,50.6,45.9,19.6,16.5,22.7,11.0,9.6,12.3,9.6,8.5,10.7,2.4,3.2,1.7,90.9,88.5,93.2,12.0,11.7,12.3
8600000US54966,54966,ZCTA5 54966,(X),(X),(X),7.4,6.1,8.6,11.1,9.5,12.7,43.5,50.1,37.1,20.7,21.9,19.6,7.5,4.6,10.4,6.9,4.6,9.1,2.9,3.2,2.6,81.5,84.4,78.7,9.8,7.8,11.7
8600000US54967,54967,ZCTA5 54967,(X),(X),(X),7.3,12.5,0.0,10.0,11.8,7.4,42.7,36.8,50.9,20.0,17.1,24.1,5.8,9.9,0.0,6.9,5.3,9.3,7.3,6.6,8.3,82.7,75.7,92.6,14.2,11.8,17.6
8600000US54968,54968,ZCTA5 54968,(X),(X),(X),1.8,1.4,2.1,6.7,7.5,5.8,45.0,45.5,44.5,21.2,22.4,19.9,10.8,8.5,13.3,9.8,8.8,11.0,4.7,5.9,3.5,91.6,91.0,92.1,14.6,14.6,14.5
8600000US54970,54970,ZCTA5 54970,(X),(X),(X),4.2,4.6,3.4,14.3,17.2,9.0,43.2,42.9,43.6,21.2,22.8,18.3,5.8,4.1,8.9,8.1,6.2,11.4,3.3,2.1,5.4,81.5,78.2,87.6,11.3,8.4,16.8
8600000US54971,54971,ZCTA5 54971,(X),(X),(X),2.6,1.3,3.6,6.7,9.8,4.1,37.9,39.1,36.9,20.4,18.9,21.7,8.9,6.9,10.6,15.0,14.7,15.3,8.5,9.3,7.8,90.7,88.9,92.3,23.5,24.0,23.1
8600000US54974,54974,ZCTA5 54974,(X),(X),(X),1.8,2.4,1.2,2.5,4.0,1.0,42.1,40.4,43.8,16.4,19.4,13.3,14.0,14.1,13.9,16.6,13.5,19.6,6.6,6.1,7.1,95.7,93.5,97.8,23.1,19.6,26.7
8600000US54977,54977,ZCTA5 54977,(X),(X),(X),0.8,0.0,1.6,4.9,5.3,4.4,43.5,47.8,39.0,20.4,19.0,22.0,10.9,7.8,14.2,13.8,14.4,13.2,5.6,5.7,5.6,94.4,94.7,94.0,19.5,20.1,18.8
8600000US54979,54979,ZCTA5 54979,(X),(X),(X),1.2,1.7,0.6,5.8,9.0,2.4,44.5,46.1,42.9,20.9,21.1,20.6,8.7,6.9,10.5,14.1,9.0,19.4,4.9,6.1,3.6,93.1,89.3,97.0,19.0,15.2,23.0
8600000US54980,54980,ZCTA5 54980,(X),(X),(X),0.0,0.0,0.0,3.5,0.0,5.8,53.5,52.9,53.8,36.0,29.4,40.4,3.5,8.8,0.0,3.5,8.8,0.0,0.0,0.0,0.0,96.5,100.0,94.2,3.5,8.8,0.0
8600000US54981,54981,ZCTA5 54981,(X),(X),(X),1.6,1.4,1.7,5.6,5.9,5.3,41.5,43.5,39.5,19.4,17.4,21.3,10.0,9.0,10.9,15.7,17.1,14.4,6.3,5.7,6.9,92.9,92.8,93.0,22.1,22.8,21.3
8600000US54982,54982,ZCTA5 54982,(X),(X),(X),3.8,3.8,3.8,8.6,10.1,7.1,38.4,36.5,40.3,24.9,24.4,25.4,7.8,8.7,6.9,10.2,10.8,9.6,6.3,5.8,6.8,87.6,86.1,89.0,16.5,16.6,16.4
8600000US54983,54983,ZCTA5 54983,(X),(X),(X),3.2,4.0,2.3,7.8,9.1,6.4,43.7,43.0,44.4,20.7,19.4,22.1,10.4,7.8,13.2,10.4,12.2,8.5,3.9,4.6,3.1,89.0,86.9,91.3,14.3,16.8,11.6
8600000US54984,54984,ZCTA5 54984,(X),(X),(X),3.0,3.6,2.4,6.8,6.5,7.1,41.6,44.6,38.6,22.1,22.7,21.6,8.0,7.6,8.4,11.9,9.0,14.8,6.5,6.1,7.0,90.2,90.0,90.4,18.5,15.1,21.8
8600000US54985,54985,ZCTA5 54985,(X),(X),(X),10.3,12.4,0.0,27.9,29.4,20.6,48.5,49.3,44.4,11.9,8.8,27.0,0.0,0.0,0.0,0.8,0.0,4.8,0.5,0.0,3.2,61.8,58.2,79.4,1.4,0.0,7.9
8600000US54986,54986,ZCTA5 54986,(X),(X),(X),1.9,1.6,2.1,3.0,2.1,3.9,39.2,38.7,39.7,20.6,21.2,19.9,10.8,12.1,9.6,17.3,16.9,17.6,7.3,7.5,7.2,95.1,96.3,94.0,24.6,24.3,24.8
8600000US61072,61072,ZCTA5 61072,(X),(X),(X),1.0,0.6,1.4,4.9,6.2,3.6,28.9,31.9,25.9,25.9,25.2,26.6,9.7,5.6,13.6,20.7,22.4,19.0,8.9,8.0,9.9,94.1,93.2,95.0,29.6,30.4,28.9
8600000US61080,61080,ZCTA5 61080,(X),(X),(X),2.9,3.4,2.4,8.7,7.3,10.2,39.4,42.5,36.2,20.6,20.0,21.2,8.8,8.0,9.6,13.6,13.1,14.1,6.0,5.7,6.3,88.4,89.3,87.4,19.6,18.8,20.4
