zip,obese,bmi,pop,sex,age,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53095,134,1043,2072,female,05-17,31.3,29,11728,63157,20695,6444,27139,0.7625557316039647
53097,NA,NA,611,female,05-17,64.2,62.2,1990,107667,3198,3121,6319,0.5060927361924356
53098,NA,NA,1121,female,05-17,17.8,21.6,4634,54760,8278,3687,11965,0.6918512327622232
53103,NA,NA,283,female,05-17,22.7,32,1503,86809,2365,1359,3724,0.6350698174006445
53104,NA,NA,412,female,05-17,18.4,26,2200,71462,1967,3459,5426,0.36251382233689644
53105,NA,NA,2518,female,05-17,20.4,24.7,11381,66699,16288,12937,29225,0.5573310521813516
53108,NA,NA,210,female,05-17,12.7,20.2,1291,68673,433,2896,3329,0.1300690898167618
53110,NA,NA,1388,female,05-17,21.1,21.6,7572,49882,18320,0,18320,1
53114,NA,NA,259,female,05-17,12.7,16.3,980,63190,1552,1126,2678,0.5795369678864825
53115,NA,NA,1215,female,05-17,18.9,18.7,6318,53868,10647,5141,15788,0.6743729414745376
53118,NA,NA,471,female,05-17,27.6,33,2863,79577,3058,4144,7202,0.4246042765898362
53119,NA,NA,573,female,05-17,24.1,29,2040,87553,2790,2818,5608,0.4975035663338088
53120,NA,NA,830,female,05-17,24.1,33.6,3926,66815,5479,4200,9679,0.5660708750904019
53121,NA,NA,1996,female,05-17,28.7,27.2,7407,65065,12484,6561,19045,0.6555001312680494
53122,NA,NA,642,female,05-17,78,67.5,2307,113750,5985,0,5985,1
53125,NA,NA,54,female,05-17,63.5,50.8,852,78971,1341,554,1895,0.7076517150395778
53126,NA,NA,558,female,05-17,22.7,27.4,2701,77393,1529,4902,6431,0.2377546260301664
53128,NA,NA,660,female,05-17,19.4,19.7,3117,56057,7587,1360,8947,0.8479937409187437
53129,NA,NA,1183,female,05-17,41.4,39.7,5939,64622,13973,0,13973,1
53130,12,50,469,female,05-17,38.1,40.1,3182,71393,7755,0,7755,1
53132,NA,NA,2742,female,05-17,38.3,37.4,13358,76548,33334,1529,34863,0.9561426153802025
53137,NA,NA,90,female,05-17,17.4,25,621,75893,0,1702,1702,0
53139,NA,NA,220,female,05-17,20.2,34.4,1069,78831,1066,1736,2802,0.3804425410421128
53140,NA,NA,2524,female,05-17,16.7,18.5,11567,38486,29753,264,30017,0.9912049838424892
53142,NA,NA,3114,female,05-17,31.4,33.1,12036,66607,31696,679,32375,0.979027027027027
53143,NA,NA,2336,female,05-17,17.2,19.7,9024,45286,23264,0,23264,1
53144,NA,NA,2263,female,05-17,27.4,25.3,9778,55414,24381,2875,27256,0.8945186380980334
53146,NA,NA,573,female,05-17,30.8,34.8,3095,83586,5313,2145,7458,0.7123893805309734
53147,NA,NA,1667,female,05-17,34.3,31.8,6953,60943,12120,4337,16457,0.7364647262563043
53149,NA,NA,1863,female,05-17,31.5,33.4,7428,86899,14070,4987,19057,0.73831138164454
53150,NA,NA,2131,female,05-17,32.6,33.5,9411,85744,23025,1825,24850,0.9265593561368209
53151,NA,NA,2201,female,05-17,44.7,41.1,13657,76772,31987,0,31987,1
53153,NA,NA,198,female,05-17,28.9,30.2,912,90250,1941,387,2328,0.8337628865979382
53154,NA,NA,3151,female,05-17,31.1,32.2,14081,70530,34160,291,34451,0.9915532205160953
53156,NA,NA,290,female,05-17,18.1,22.2,1189,57989,0,2992,2992,0
53158,NA,NA,1452,female,05-17,33.4,33.8,6476,76851,15006,911,15917,0.9427655965320098
53167,NA,NA,0,female,05-17,13.1,45.1,308,51579,399,0,399,1
53168,NA,NA,718,female,05-17,21.5,22.4,3341,74088,6311,2332,8643,0.7301862779127618
53170,NA,NA,226,female,05-17,21.9,27.8,923,61228,2380,0,2380,1
53172,NA,NA,1736,female,05-17,18.9,22,8628,51484,21156,0,21156,1
53177,NA,NA,485,female,05-17,13.1,25.3,2663,64920,6858,1471,8329,0.823388161844159
53178,NA,NA,171,female,05-17,15.8,18.8,1157,60298,0,2626,2626,0
53179,NA,NA,657,female,05-17,18.5,23.9,2363,68199,4807,1503,6310,0.7618066561014263
53181,NA,NA,692,female,05-17,22.2,24.2,2715,65168,6416,941,7357,0.8720946037787142
53182,NA,NA,880,female,05-17,16.2,19.4,3321,66572,6335,3077,9412,0.6730769230769231
53183,NA,NA,253,female,05-17,41.6,46.6,1053,99095,2638,177,2815,0.9371225577264654
53184,NA,NA,341,female,05-17,23.3,28.4,1663,51377,3042,1229,4271,0.7122453757902131
53185,NA,NA,1644,female,05-17,28.2,31.1,7053,86729,15078,3473,18551,0.8127863727022802
53186,NA,NA,2405,female,05-17,36,35.5,13821,57423,33592,0,33592,1
53188,NA,NA,2606,female,05-17,33.8,36.3,14444,66359,33848,1347,35195,0.9617275181133684
53189,NA,NA,2315,female,05-17,38.2,37.7,9728,87062,20919,5309,26228,0.7975827360073204
53190,55,241,975,female,05-17,31.1,36.6,6422,43339,14227,4973,19200,0.7409895833333333
53191,NA,NA,201,female,05-17,46.7,45.5,1194,63190,2601,241,2842,0.9152005629838142
53192,NA,NA,0,female,05-17,0,0,50,NA,113,104,217,0.5207373271889401
53195,NA,NA,5,female,05-17,12.2,10.7,55,52125,0,114,114,0
53202,NA,NA,288,female,05-17,64.6,70.3,15338,52441,23386,0,23386,1
53203,NA,NA,17,female,05-17,55.2,54.9,865,66161,938,0,938,1
53204,NA,NA,4777,female,05-17,8.3,8.4,13047,28218,42355,0,42355,1
53205,NA,NA,1299,female,05-17,9.9,9.8,3435,23125,10050,0,10050,1
53206,NA,NA,3213,female,05-17,4.2,7.6,8239,22877,28210,0,28210,1
53207,NA,NA,2603,female,05-17,31.5,40.9,16525,58646,35149,0,35149,1
53208,NA,NA,3115,female,05-17,24.5,25.1,12304,31592,31133,0,31133,1
53209,NA,NA,4983,female,05-17,20.7,21.1,18339,33395,46917,0,46917,1
53210,NA,NA,3100,female,05-17,17.5,21.7,9703,34516,28126,0,28126,1
53211,16,248,1714,female,05-17,64.2,70.1,14322,60195,35406,0,35406,1
53212,NA,NA,2663,female,05-17,29.6,31.4,13146,33597,30416,0,30416,1
53213,25,243,1981,female,05-17,60.2,58.3,11519,73308,26020,0,26020,1
53214,58,286,2442,female,05-17,21.4,24.6,15823,44343,34725,0,34725,1
53215,NA,NA,6857,female,05-17,7.4,11.2,19329,35803,60953,0,60953,1
53216,NA,NA,3398,female,05-17,13.7,20.3,13196,34977,32264,0,32264,1
53217,NA,NA,2586,female,05-17,72.7,68.5,11668,100262,29192,0,29192,1
