airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0..15,all_n_16..30,all_n_31..45,all_n_46..60,all_n_61..90,all_n_91..120,all_n_120..,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,10/27/2018,1500 - 1600,8,31,12,31,9,31,1236,300,4,0,0,0,0,52,1592,7,20
ORD,Terminal 5,10/27/2018,1600 - 1700,11,33,16,35,13,35,868,462,24,0,0,0,0,50,1404,7,24
ORD,Terminal 5,10/27/2018,1700 - 1800,7,21,10,23,7,23,1099,108,0,0,0,0,0,29,1236,7,20
ORD,Terminal 5,10/27/2018,1800 - 1900,8,21,8,21,8,21,1527,134,0,0,0,0,0,54,1715,9,24
ORD,Terminal 5,10/27/2018,1900 - 2000,10,40,15,43,12,43,799,317,56,0,0,0,0,45,1217,5,17
ORD,Terminal 5,10/27/2018,2000 - 2100,9,29,15,30,11,30,278,127,0,0,0,0,0,10,415,2,12
ORD,Terminal 5,10/27/2018,2200 - 2300,15,34,20,37,17,37,70,55,12,0,0,0,0,5,142,1,15
ORD,Terminal 5,10/27/2018,2300 - 0000,6,25,11,30,8,30,325,60,0,0,0,0,0,11,396,3,15
ORD,Terminal 5,10/28/2018,0000 - 0100,9,27,14,29,11,29,199,81,0,0,0,0,0,13,293,2,13
ORD,Terminal 5,10/28/2018,0500 - 0600,9,52,25,60,22,60,119,35,15,53,0,0,0,7,229,1,12
ORD,Terminal 5,10/28/2018,0700 - 0800,8,32,11,34,10,34,354,109,12,0,0,0,0,20,495,2,10
ORD,Terminal 5,10/28/2018,0800 - 0900,4,18,7,21,6,21,167,22,0,0,0,0,0,6,195,1,8
ORD,Terminal 5,10/28/2018,0900 - 1000,9,25,11,28,10,28,221,48,0,0,0,0,0,9,278,1,8
ORD,Terminal 5,10/28/2018,1000 - 1100,5,19,8,17,6,19,149,15,0,0,0,0,0,5,169,2,8
ORD,Terminal 5,10/28/2018,1100 - 1200,7,49,20,57,14,57,477,126,78,35,0,0,0,21,737,3,17
ORD,Terminal 5,10/28/2018,1200 - 1300,8,41,18,45,12,45,459,123,89,0,0,0,0,17,688,4,20
ORD,Terminal 5,10/28/2018,1300 - 1400,5,21,10,29,7,29,714,92,0,0,0,0,0,24,830,4,17
ORD,Terminal 5,10/28/2018,1400 - 1500,11,59,18,59,14,59,1470,461,257,51,0,0,0,69,2308,10,22
ORD,Terminal 5,10/28/2018,1500 - 1600,14,50,20,53,17,53,1125,707,310,29,0,0,0,66,2237,10,21
ORD,Terminal 5,10/28/2018,1600 - 1700,9,30,12,30,10,30,827,201,0,0,0,0,0,29,1057,5,19
ORD,Terminal 5,10/28/2018,1700 - 1800,8,24,8,23,8,24,1025,133,0,0,0,0,0,30,1188,6,18
ORD,Terminal 5,10/28/2018,1800 - 1900,7,23,11,27,8,27,1387,165,0,0,0,0,0,47,1599,8,22
ORD,Terminal 5,10/28/2018,1900 - 2000,9,32,10,31,9,32,876,261,5,0,0,0,0,35,1177,6,15
ORD,Terminal 5,10/28/2018,2000 - 2100,6,22,7,26,7,26,622,38,0,0,0,0,0,22,682,3,19
ORD,Terminal 5,10/28/2018,2200 - 2300,14,26,13,27,14,27,222,159,0,0,0,0,0,5,386,2,15
ORD,Terminal 5,10/28/2018,2300 - 0000,4,17,7,17,5,17,233,5,0,0,0,0,0,12,250,2,13
ORD,Terminal 5,10/29/2018,0000 - 0100,8,20,12,20,10,20,136,30,0,0,0,0,0,10,176,1,11
ORD,Terminal 5,10/29/2018,0100 - 0200,6,28,8,28,7,28,167,22,0,0,0,0,0,5,194,2,10
ORD,Terminal 5,10/29/2018,0400 - 0500,4,18,17,49,15,49,134,34,24,10,0,0,0,6,208,1,5
