zip,urban,rural,population,p_urban
53506,0,1125,1125,0
53507,0,2196,2196,0
53508,0,5262,5262,0
53510,0,1482,1482,0
53511,43775,5154,48929,0.8946636963763821
53515,1269,999,2268,0.5595238095238095
53516,0,2152,2152,0
53517,0,1752,1752,0
53518,0,1330,1330,0
53520,3506,3304,6810,0.5148311306901615
53521,1424,2232,3656,0.38949671772428884
53522,0,1085,1085,0
53523,2577,2372,4949,0.5207112547989493
53525,0,4052,4052,0
53526,0,565,565,0
53527,6987,2976,9963,0.701294790725685
53528,3575,2159,5734,0.6234740146494594
53529,0,2031,2031,0
53530,0,4566,4566,0
53531,0,4338,4338,0
53532,10795,2811,13606,0.7933999706012054
53533,4756,2520,7276,0.6536558548653106
53534,7208,4304,11512,0.626129256428075
53536,5669,2834,8503,0.666705868516994
53537,0,781,781,0
53538,13192,5276,18468,0.7143166558371237
53540,0,169,169,0
53541,0,861,861,0
53543,0,1641,1641,0
53544,0,800,800,0
53545,21212,1905,23117,0.9175931132932474
53546,27892,2756,30648,0.9100756982511093
53548,15136,3422,18558,0.8156051298631318
53549,7913,2501,10414,0.7598425196850394
53550,0,1239,1239,0
53551,6581,1692,8273,0.7954792699141786
53553,0,624,624,0
53554,0,1134,1134,0
53555,3014,5451,8465,0.35605434140578857
53556,0,2594,2594,0
53557,0,482,482,0
53558,9935,807,10742,0.9248743250791287
53559,3834,2229,6063,0.632360217714003
53560,1687,1771,3458,0.48785425101214575
53561,0,1618,1618,0
53562,21718,1909,23627,0.9192026071866932
53563,6766,3962,10728,0.6306860551826995
53565,0,4765,4765,0
53566,10883,4334,15217,0.7151869619504502
53569,0,1155,1155,0
53570,0,2627,2627,0
53571,0,280,280,0
53572,6997,2973,9970,0.7018054162487463
53573,0,3062,3062,0
53574,0,3877,3877,0
53575,9635,5859,15494,0.6218536207564218
53576,0,2319,2319,0
53577,0,1371,1371,0
53578,3972,1952,5924,0.6704929101958136
53579,0,1760,1760,0
53580,0,564,564,0
53581,5021,5678,10699,0.46929619590615945
53582,0,1079,1079,0
53583,3761,1986,5747,0.6544283974247433
53585,0,2215,2215,0
53586,0,2284,2284,0
53587,0,1290,1290,0
53588,0,4077,4077,0
53589,15521,3906,19427,0.7989396201163329
53590,32721,3573,36294,0.9015539758637792
53593,14872,4353,19225,0.7735760728218466
53594,3059,2085,5144,0.5946734059097978
53597,13713,3131,16844,0.8141177867489907
53598,2043,468,2511,0.8136200716845878
53599,0,69,69,0
53702,50,0,50,1
53703,27958,0,27958,1
53704,43785,249,44034,0.9943452786483172
53705,23494,0,23494,1
53706,5133,0,5133,1
53711,43576,2152,45728,0.9529391182645206
53713,22138,8,22146,0.9996387609500587
53714,16463,0,16463,1
53715,12136,0,12136,1
