zip,obese,bmi,pop,sex,age
53536,71,517,821,female,05-17
53537,NA,NA,23,female,05-17
53538,81,414,1395,female,05-17
53540,NA,NA,16,female,05-17
53541,10,45,52,female,05-17
53543,NA,NA,168,female,05-17
53544,NA,NA,31,female,05-17
53545,94,542,1816,female,05-17
53546,130,709,2845,female,05-17
53548,99,437,1405,female,05-17
53549,23,153,769,female,05-17
53550,18,90,103,female,05-17
53551,34,192,987,female,05-17
53553,NA,NA,26,female,05-17
53554,NA,NA,149,female,05-17
53555,39,260,866,female,05-17
53556,NA,NA,162,female,05-17
53557,NA,NA,34,female,05-17
53558,65,741,965,female,05-17
53559,43,330,605,female,05-17
53560,18,130,324,female,05-17
53561,NA,NA,62,female,05-17
53562,149,1739,2211,female,05-17
53563,55,286,866,female,05-17
53565,NA,NA,523,female,05-17
53566,228,1175,1274,female,05-17
53569,NA,NA,90,female,05-17
53570,35,184,260,female,05-17
53571,NA,NA,20,female,05-17
53572,87,702,1005,female,05-17
53573,19,69,255,female,05-17
53574,29,293,384,female,05-17
53575,107,1094,1761,female,05-17
53576,15,69,228,female,05-17
53577,NA,NA,102,female,05-17
53578,15,137,521,female,05-17
53579,NA,NA,150,female,05-17
53580,NA,NA,53,female,05-17
53581,21,125,821,female,05-17
53582,10,40,86,female,05-17
53583,20,128,440,female,05-17
53585,NA,NA,186,female,05-17
53586,15,57,155,female,05-17
53587,NA,NA,104,female,05-17
53588,NA,NA,326,female,05-17
53589,168,1358,1381,female,05-17
53590,358,2774,4033,female,05-17
53593,103,1677,1971,female,05-17
53594,29,151,485,female,05-17
53597,116,1500,1831,female,05-17
53598,29,203,223,female,05-17
53599,NA,NA,0,female,05-17
53702,NA,NA,0,female,05-17
53703,14,188,260,female,05-17
53704,366,2018,2891,female,05-17
53705,57,855,1355,female,05-17
53706,NA,NA,16,female,05-17
53711,327,2641,3451,female,05-17
53713,290,1391,2115,female,05-17
53714,146,728,1293,female,05-17
53715,22,168,264,female,05-17
53716,120,854,956,female,05-17
53717,45,510,720,female,05-17
53718,69,589,594,female,05-17
53719,203,1611,2192,female,05-17
53726,NA,NA,359,female,05-17
53792,NA,NA,0,female,05-17
53801,NA,NA,63,female,05-17
53802,NA,NA,0,female,05-17
53803,NA,NA,132,female,05-17
53804,NA,NA,112,female,05-17
53805,48,242,370,female,05-17
53806,NA,NA,113,female,05-17
53807,NA,NA,411,female,05-17
53808,NA,NA,81,female,05-17
53809,21,85,324,female,05-17
53810,NA,NA,38,female,05-17
53811,NA,NA,235,female,05-17
53813,14,54,482,female,05-17
53816,NA,NA,104,female,05-17
53817,NA,NA,4,female,05-17
53818,NA,NA,988,female,05-17
53820,NA,NA,204,female,05-17
53821,25,156,660,female,05-17
53825,NA,NA,81,female,05-17
53826,12,50,158,female,05-17
53827,NA,NA,14,female,05-17
53901,99,446,1015,female,05-17
53910,21,81,263,female,05-17
53911,10,78,97,female,05-17
53913,122,706,1635,female,05-17
53916,129,757,1963,female,05-17
53919,NA,NA,209,female,05-17
53920,NA,NA,29,female,05-17
53922,NA,NA,62,female,05-17
53923,13,79,266,female,05-17
53924,NA,NA,102,female,05-17
53925,56,403,779,female,05-17
53926,NA,NA,213,female,05-17
53928,NA,NA,18,female,05-17
53929,12,60,201,female,05-17
53930,NA,NA,109,female,05-17
53931,NA,NA,20,female,05-17
53932,25,144,254,female,05-17
53933,10,37,163,female,05-17
53934,22,81,235,female,05-17
53935,NA,NA,23,female,05-17
53936,NA,NA,95,female,05-17
53937,NA,NA,66,female,05-17
