airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0..15,all_n_16..30,all_n_31..45,all_n_46..60,all_n_61..90,all_n_91..120,all_n_120..,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,2019-01-01,0100 - 0200,2,22,3,19,2,22,120,3,0,0,0,0,0,4,127,1,7
ORD,Terminal 5,2019-01-01,0400 - 0500,17,43,29,70,20,70,40,70,7,4,1,0,0,4,126,1,5
ORD,Terminal 5,2019-01-01,0500 - 0600,14,75,30,80,25,80,106,89,23,6,42,0,0,8,274,1,8
ORD,Terminal 5,2019-01-01,0600 - 0700,9,45,26,52,18,52,176,47,57,22,0,0,0,17,319,1,11
ORD,Terminal 5,2019-01-01,0700 - 0800,6,44,20,44,14,44,284,85,76,0,0,0,0,15,460,2,11
ORD,Terminal 5,2019-01-01,0800 - 0900,6,18,8,18,7,18,237,14,0,0,0,0,0,5,256,1,10
ORD,Terminal 5,2019-01-01,0900 - 1000,7,21,7,19,7,21,111,18,0,0,0,0,0,4,133,2,6
ORD,Terminal 5,2019-01-01,1100 - 1200,11,74,41,79,24,79,657,107,84,177,148,0,0,40,1213,6,20
ORD,Terminal 5,2019-01-01,1200 - 1300,10,34,22,43,13,43,105,21,18,0,0,0,0,5,149,1,9
ORD,Terminal 5,2019-01-01,1300 - 1400,10,70,29,88,19,88,1194,294,150,114,118,0,0,61,1931,8,16
ORD,Terminal 5,2019-01-01,1400 - 1500,9,61,38,101,18,101,1263,197,127,163,100,23,0,68,1941,8,16
ORD,Terminal 5,2019-01-01,1500 - 1600,13,99,35,99,18,99,1427,309,127,154,117,22,0,74,2230,10,18
ORD,Terminal 5,2019-01-01,1600 - 1700,14,66,34,76,20,76,554,209,173,84,48,0,0,31,1099,5,20
ORD,Terminal 5,2019-01-01,1700 - 1800,13,42,18,44,14,44,1128,571,117,0,0,0,0,56,1872,9,13
ORD,Terminal 5,2019-01-01,1800 - 1900,11,37,17,40,12,40,1132,464,39,0,0,0,0,44,1679,9,11
ORD,Terminal 5,2019-01-01,1900 - 2000,8,23,12,24,9,24,663,133,0,0,0,0,0,23,819,4,9
ORD,Terminal 5,2019-01-01,2200 - 2300,6,16,8,17,6,17,381,14,0,0,0,0,0,8,403,3,10
ORD,Terminal 5,2019-01-01,2300 - 0000,4,20,6,20,5,20,311,19,0,0,0,0,0,10,340,2,10
ORD,Terminal 5,2019-01-02,0000 - 0100,3,14,6,14,4,14,282,0,0,0,0,0,0,10,292,2,10
ORD,Terminal 5,2019-01-02,0200 - 0300,7,29,11,37,8,37,217,39,3,0,0,0,0,8,267,2,4
ORD,Terminal 5,2019-01-02,0400 - 0500,6,24,11,27,7,27,141,12,0,0,0,0,0,5,158,1,3
ORD,Terminal 5,2019-01-02,0500 - 0600,6,30,15,40,13,40,165,59,33,0,0,0,0,5,262,1,10
ORD,Terminal 5,2019-01-02,0600 - 0700,20,109,57,115,38,115,274,196,56,19,104,115,0,25,789,3,11
ORD,Terminal 5,2019-01-02,0700 - 0800,8,94,75,102,45,102,114,5,2,2,40,67,0,6,236,1,11
ORD,Terminal 5,2019-01-02,0900 - 1000,4,25,11,30,8,30,274,62,0,0,0,0,0,12,348,2,9
ORD,Terminal 5,2019-01-02,1000 - 1100,6,16,7,18,6,18,306,12,0,0,0,0,0,9,327,2,9
ORD,Terminal 5,2019-01-02,1100 - 1200,13,82,37,91,23,91,535,274,98,61,109,3,0,34,1114,5,17
ORD,Terminal 5,2019-01-02,1200 - 1300,9,49,25,62,14,62,401,104,18,31,10,0,0,19,583,3,20
ORD,Terminal 5,2019-01-02,1300 - 1400,14,59,23,63,17,63,1130,423,323,83,4,0,0,54,2017,8,19
ORD,Terminal 5,2019-01-02,1400 - 1500,11,46,21,51,14,51,1470,559,210,26,0,0,0,77,2342,10,20
ORD,Terminal 5,2019-01-02,1500 - 1600,11,60,29,66,19,66,1144,385,233,209,30,0,0,67,2068,8,21
ORD,Terminal 5,2019-01-02,1600 - 1700,10,62,23,62,14,62,925,273,121,14,3,0,0,42,1378,7,20
ORD,Terminal 5,2019-01-02,1700 - 1800,7,29,9,26,8,29,769,62,0,0,0,0,0,21,852,6,8
ORD,Terminal 5,2019-01-02,1800 - 1900,9,36,13,36,10,36,1577,347,33,0,0,0,0,40,1997,11,17
