airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0..15,all_n_16..30,all_n_31..45,all_n_46..60,all_n_61..90,all_n_91..120,all_n_120..,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,2020-01-01,0000 - 0100,16,62,23,61,18,62,128,92,26,12,2,0,0,12,272,2,6
ORD,Terminal 5,2020-01-01,0500 - 0600,7,51,28,79,22,79,169,61,29,36,28,0,0,10,333,2,6
ORD,Terminal 5,2020-01-01,0600 - 0700,16,103,56,107,34,107,405,211,101,33,201,70,0,33,1054,4,12
ORD,Terminal 5,2020-01-01,0800 - 0900,6,22,10,22,8,22,199,41,0,0,0,0,0,7,247,1,12
ORD,Terminal 5,2020-01-01,0900 - 1000,3,13,5,13,4,13,54,0,0,0,0,0,0,0,54,1,7
ORD,Terminal 5,2020-01-01,1000 - 1100,7,24,10,28,8,28,283,39,0,0,0,0,0,11,333,2,11
ORD,Terminal 5,2020-01-01,1100 - 1200,14,54,27,70,20,70,477,322,174,61,18,0,0,30,1082,5,13
ORD,Terminal 5,2020-01-01,1200 - 1300,6,30,11,32,8,32,387,30,5,0,0,0,0,13,435,3,20
ORD,Terminal 5,2020-01-01,1300 - 1400,9,28,13,30,10,30,990,243,0,0,0,0,0,34,1267,5,19
ORD,Terminal 5,2020-01-01,1400 - 1500,11,63,21,53,14,63,1283,391,134,39,2,0,0,60,1909,9,27
ORD,Terminal 5,2020-01-01,1500 - 1600,9,39,16,43,11,43,1284,423,61,0,0,0,0,63,1831,8,20
ORD,Terminal 5,2020-01-01,1600 - 1700,7,34,13,38,9,38,1391,228,17,0,0,0,0,50,1686,8,19
ORD,Terminal 5,2020-01-01,1700 - 1800,10,24,11,25,10,25,1078,202,0,0,0,0,0,42,1322,7,18
ORD,Terminal 5,2020-01-01,1800 - 1900,9,24,10,27,9,27,1571,223,0,0,0,0,0,47,1841,10,19
ORD,Terminal 5,2020-01-01,1900 - 2000,9,30,13,31,10,31,769,200,7,0,0,0,0,39,1015,4,15
ORD,Terminal 5,2020-01-01,2000 - 2100,9,25,14,28,11,28,312,98,0,0,0,0,0,19,429,2,9
ORD,Terminal 5,2020-01-01,2200 - 2300,8,16,11,21,8,21,465,23,0,0,0,0,0,11,499,3,10
ORD,Terminal 5,2020-01-01,2300 - 0000,8,21,11,21,8,21,298,25,0,0,0,0,0,9,332,2,11
ORD,Terminal 5,2020-01-02,0000 - 0100,9,24,12,25,10,25,319,88,0,0,0,0,0,21,428,3,10
ORD,Terminal 5,2020-01-02,0400 - 0500,4,13,7,15,5,15,128,0,0,0,0,0,0,3,131,1,5
ORD,Terminal 5,2020-01-02,0600 - 0700,14,81,42,81,26,81,183,43,18,20,65,0,0,9,338,1,9
ORD,Terminal 5,2020-01-02,0700 - 0800,8,105,43,105,27,105,605,106,40,13,153,74,0,27,1018,4,12
ORD,Terminal 5,2020-01-02,0900 - 1000,8,23,12,27,10,27,175,42,0,0,0,0,0,11,228,2,6
ORD,Terminal 5,2020-01-02,1100 - 1200,12,87,34,100,20,100,805,372,155,76,77,19,0,47,1551,7,20
ORD,Terminal 5,2020-01-02,1200 - 1300,13,32,18,37,15,37,159,76,18,0,0,0,0,6,259,2,12
ORD,Terminal 5,2020-01-02,1300 - 1400,8,43,16,45,11,45,1352,417,91,0,0,0,0,72,1932,8,23
ORD,Terminal 5,2020-01-02,1400 - 1500,11,30,15,33,12,33,1049,529,15,0,0,0,0,56,1649,6,23
ORD,Terminal 5,2020-01-02,1500 - 1600,8,28,11,27,9,28,1373,314,0,0,0,0,0,54,1741,8,20
ORD,Terminal 5,2020-01-02,1600 - 1700,13,37,14,33,13,37,1213,824,12,0,0,0,0,54,2103,11,23
ORD,Terminal 5,2020-01-02,1700 - 1800,9,23,10,23,9,23,940,197,0,0,0,0,0,35,1172,6,16
ORD,Terminal 5,2020-01-02,1800 - 1900,7,24,8,21,7,24,1258,91,0,0,0,0,0,37,1386,8,20
ORD,Terminal 5,2020-01-02,1900 - 2000,10,32,12,41,11,41,600,226,11,0,0,0,0,37,874,3,13
ORD,Terminal 5,2020-01-02,2000 - 2100,9,27,13,29,10,29,625,175,0,0,0,0,0,31,831,4,13
ORD,Terminal 5,2020-01-02,2100 - 2200,8,17,5,8,8,17,163,12,0,0,0,0,0,5,180,1,7
ORD,Terminal 5,2020-01-02,2200 - 2300,4,16,7,16,5,16,245,10,0,0,0,0,0,6,261,2,10
ORD,Terminal 5,2020-01-02,2300 - 0000,6,18,9,19,7,19,315,14,0,0,0,0,0,9,338,2,10
ORD,Terminal 5,2020-01-03,0000 - 0100,2,12,3,11,3,12,136,0,0,0,0,0,0,5,141,1,11
ORD,Terminal 5,2020-01-03,0300 - 0400,5,22,10,22,6,22,112,17,0,0,0,0,0,3,132,1,5
ORD,Terminal 5,2020-01-03,0500 - 0600,8,24,12,25,9,25,112,28,0,0,0,0,0,6,146,1,5
ORD,Terminal 5,2020-01-03,0600 - 0700,4,22,8,22,6,22,239,25,0,0,0,0,0,9,273,1,10
ORD,Terminal 5,2020-01-03,0700 - 0800,8,34,14,36,11,36,613,161,35,0,0,0,0,23,832,3,10
ORD,Terminal 5,2020-01-03,0800 - 0900,15,36,12,37,15,37,301,250,26,0,0,0,0,18,595,2,10
ORD,Terminal 5,2020-01-03,0900 - 1000,6,21,9,21,7,21,216,27,0,0,0,0,0,8,251,2,8
ORD,Terminal 5,2020-01-03,1000 - 1100,16,38,20,37,17,38,109,130,21,0,0,0,0,8,268,1,9
ORD,Terminal 5,2020-01-03,1100 - 1200,15,88,43,110,26,110,750,455,211,70,85,107,0,58,1736,8,26
