Rank,Team,S,W-L,Kills,Per Set
210,Rhode Island (Atlantic 10),95,8-18,"1,155",12.16
211,Valparaiso (MVC),127,14-20,"1,544",12.16
212,Stony Brook (America East),96,9-17,"1,167",12.16
213,San Francisco (WCC),108,8-21,"1,311",12.14
214,Jacksonville (ASUN),116,10-21,"1,408",12.14
215,Lehigh (Patriot),109,14-17,"1,323",12.14
216,Southern Ill. (MVC),134,14-18,"1,626",12.13
217,Furman (SoCon),109,7-20,"1,322",12.13
218,Duke (ACC),110,11-19,"1,334",12.13
219,Miami (FL) (ACC),102,10-16,"1,236",12.12
220,Albany (NY) (America East),96,16-10,"1,163",12.11
221,Alabama St. (SWAC),139,17-21,"1,680",12.09
222,Michigan St. (Big Ten),110,15-15,"1,329",12.08
223,New Hampshire (America East),98,17-9,"1,183",12.07
224,Air Force (Mountain West),114,8-22,"1,375",12.06
225,Charleston So. (Big South),103,14-15,"1,238",12.02
226,Ole Miss (SEC),117,14-15,"1,405",12.01
227,Alabama A&M (SWAC),111,18-14,"1,332",12.00
228,Northern Ill. (MAC),110,8-22,"1,319",11.99
229,Utah Valley (WAC),113,11-19,"1,354",11.98
230,McNeese (Southland),106,11-17,"1,270",11.98
231,UMBC (America East),88,7-16,"1,054",11.98
232,Wake Forest (ACC),105,14-15,"1,257",11.97
232,LIU (NEC),105,12-17,"1,257",11.97
234,Idaho (Big Sky),124,13-18,"1,483",11.96
235,Xavier (Big East),99,10-17,"1,184",11.96
236,Portland (WCC),107,11-18,"1,279",11.95
237,UTEP (C-USA),106,13-15,"1,267",11.95
238,CSU Bakersfield (WAC),114,9-19,"1,361",11.94
239,UNC Greensboro (SoCon),97,10-17,"1,158",11.94
240,Canisius (MAAC),123,15-16,"1,468",11.93
241,Indiana (Big Ten),126,14-19,"1,503",11.93
242,Seattle U (WAC),120,13-18,"1,429",11.91
243,Georgia St. (Sun Belt),105,10-17,"1,250",11.90
244,Butler (Big East),115,14-16,"1,369",11.90
245,Texas Southern (SWAC),94,10-16,"1,119",11.90
246,Houston (AAC),137,16-16,"1,629",11.89
247,Lafayette (Patriot),125,13-19,"1,482",11.86
248,UConn (AAC),104,12-16,"1,233",11.86
249,UTRGV (WAC),117,14-17,"1,384",11.83
250,Toledo (MAC),108,9-19,"1,277",11.82
251,Oral Roberts (Summit League),123,8-23,"1,453",11.81
252,Cal St. Fullerton (Big West),100,12-15,"1,181",11.81
253,Duquesne (Atlantic 10),94,10-17,"1,109",11.80
254,Dartmouth (Ivy League),89,10-15,"1,050",11.80
255,La.-Monroe (Sun Belt),112,12-20,"1,320",11.79
256,St. Francis Brooklyn (NEC),119,14-17,"1,402",11.78
257,Col. of Charleston (CAA),102,7-21,"1,200",11.76
258,Alabama (SEC),105,12-17,"1,235",11.76
259,UNC Asheville (Big South),90,13-13,"1,058",11.76
260,South Fla. (AAC),113,7-23,"1,328",11.75
261,Harvard (Ivy League),88,5-18,"1,033",11.74
262,Jackson St. (SWAC),126,17-19,"1,478",11.73
263,Charlotte (C-USA),112,16-15,"1,312",11.71
264,Fordham (Atlantic 10),106,12-14,"1,239",11.69
265,New Mexico (Mountain West),115,11-19,"1,343",11.68
266,Davidson (Atlantic 10),105,10-18,"1,225",11.67
267,Mississippi St. (SEC),114,13-17,"1,326",11.63
268,Saint Mary's (CA) (WCC),106,11-17,"1,232",11.62
269,Hampton (Big South),95,8-17,"1,103",11.61
270,Indiana St. (MVC),103,7-21,"1,195",11.60
271,George Washington (Atlantic 10),100,15-14,"1,160",11.60
272,Southern Miss. (C-USA),102,3-26,"1,183",11.60
273,Delaware St. (MEAC),110,11-18,"1,274",11.58
274,Niagara (MAAC),105,13-16,"1,214",11.56
275,Coppin St. (MEAC),114,13-18,"1,316",11.54
276,Wichita St. (AAC),105,9-19,"1,209",11.51
277,Gonzaga (WCC),110,11-19,"1,266",11.51
278,Georgetown (Big East),122,13-19,"1,402",11.49
279,UMES (MEAC),127,12-19,"1,459",11.49
280,UC Irvine (Big West),105,5-23,"1,206",11.49
281,Kansas (Big 12),96,9-17,"1,102",11.48
282,Holy Cross (Patriot),111,5-25,"1,272",11.46
283,Drake (MVC),125,9-22,"1,432",11.46
284,Auburn (SEC),103,7-22,"1,179",11.45
285,Virginia Tech (ACC),121,11-20,"1,384",11.44
286,Belmont (OVC),108,2-29,"1,231",11.40
287,Chicago St. (WAC),119,5-26,"1,355",11.39
288,Abilene Christian (Southland),93,7-19,"1,054",11.33
289,South Dakota St. (Summit League),107,6-22,"1,212",11.33
290,Chattanooga (SoCon),115,7-23,"1,302",11.32
291,UNCW (CAA),117,14-15,"1,322",11.30
292,George Mason (Atlantic 10),97,4-22,"1,096",11.30
293,The Citadel (SoCon),111,9-20,"1,249",11.25
294,Providence (Big East),111,6-24,"1,244",11.21
295,Montana (Big Sky),112,7-23,"1,255",11.21
296,Idaho St. (Big Sky),115,7-23,"1,288",11.20
297,Maryland (Big Ten),127,13-19,"1,421",11.19
298,North Dakota (Summit League),113,12-18,"1,264",11.19
299,UIW (Southland),114,7-23,"1,275",11.18
300,Radford (Big South),95,10-16,"1,062",11.18
301,USC Upstate (Big South),101,7-19,"1,126",11.15
302,William & Mary (CAA),97,7-20,"1,081",11.14
303,IUPUI (Horizon),115,7-22,"1,275",11.09
304,Western Ill. (Summit League),107,6-23,"1,186",11.08
305,Tennessee St. (OVC),104,12-17,"1,150",11.06
306,Portland St. (Big Sky),111,10-19,"1,226",11.05
307,Youngstown St. (Horizon),101,8-21,"1,115",11.04
308,Seton Hall (Big East),114,8-24,"1,258",11.04
309,N.C. Central (MEAC),123,8-24,"1,357",11.03
310,Ga. Southern (Sun Belt),101,7-20,"1,113",11.02
311,Rutgers (Big Ten),105,8-23,"1,153",10.98
312,Iona (MAAC),101,5-23,"1,107",10.96
313,Eastern Wash. (Big Sky),113,6-24,"1,238",10.96
314,Eastern Ill. (OVC),106,3-26,"1,134",10.70
315,Little Rock (Sun Belt),95,6-22,"1,007",10.60
316,Ark.-Pine Bluff (SWAC),124,10-24,"1,292",10.42
317,Bethune-Cookman (MEAC),118,8-24,"1,219",10.33
318,Manhattan (MAAC),115,8-23,"1,184",10.30
319,Florida A&M (MEAC),106,9-18,"1,067",10.07
320,Saint Francis (PA) (NEC),93,3-25,909,9.77
321,Southern U. (SWAC),108,10-20,"1,041",9.64
322,Saint Peter's (MAAC),109,3-27,"1,049",9.62
323,NJIT (ASUN),110,1-31,"1,050",9.55
324,Binghamton (America East),74,0-23,697,9.42
325,Gardner-Webb (Big South),84,3-22,791,9.42
326,Grambling (SWAC),109,8-24,"1,014",9.30
327,Norfolk St. (MEAC),86,2-23,787,9.15
328,Fairleigh Dickinson (NEC),98,4-26,891,9.09
329,Utah St. (Mountain West),108,2-28,975,9.03
330,Alcorn (SWAC),102,7-23,913,8.95
331,Mississippi Val. (SWAC),108,4-30,905,8.38
332,South Carolina St. (MEAC),77,0-25,585,7.60
