zip,obese_female_05-17,obese_female_18-34,obese_female_35-54,obese_female_55-74,obese_female_75-plus,obese_male_05-17,obese_male_18-34,obese_male_35-54,obese_male_55-74,obese_male_75-plus,bmi_female_05-17,bmi_female_18-34,bmi_female_35-54,bmi_female_55-74,bmi_female_75-plus,bmi_male_05-17,bmi_male_18-34,bmi_male_35-54,bmi_male_55-74,bmi_male_75-plus,pop_female_05-17,pop_female_18-34,pop_female_35-54,pop_female_55-74,pop_female_75-plus,pop_male_05-17,pop_male_18-34,pop_male_35-54,pop_male_55-74,pop_male_75-plus,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53036,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,182,243,456,272,43,238,297,500,208,39,23.6,29,1134,75179,950,1770,2720,0.3492647058823529
53037,35,129,348,338,71,52,119,340,331,72,349,486,881,706,251,396,373,713,611,192,811,945,1483,1047,301,855,850,1392,912,171,29.7,26.9,3703,74327,7439,1821,9260,0.8033477321814255
53038,NA,23,66,49,NA,NA,23,49,54,10,NA,71,134,106,NA,NA,53,93,96,33,369,500,595,349,82,347,447,658,385,92,24.8,35,1590,75000,2701,1312,4013,0.6730625467231498
53039,13,33,112,125,42,11,23,85,139,33,64,94,202,242,126,76,66,172,241,94,301,447,593,423,271,462,564,745,416,196,11,17.3,1628,57800,2736,2127,4863,0.5626156693399136
53040,38,155,287,305,89,57,122,355,407,80,332,504,742,706,278,323,377,692,711,230,808,759,1312,844,252,750,663,1284,789,236,19.7,19.7,2980,70938,4007,4057,8064,0.49689980158730157
53042,10,48,106,101,19,17,30,102,102,15,77,139,248,208,47,78,106,210,217,39,589,683,926,802,319,592,751,830,848,197,15.1,14.4,2877,58583,3741,2949,6690,0.5591928251121077
53044,NA,NA,35,42,NA,NA,10,46,51,NA,NA,NA,139,125,NA,NA,45,110,109,NA,350,144,403,322,92,322,148,355,263,85,62.9,59.7,957,79063,2147,150,2297,0.934697431432303
53045,NA,75,201,294,146,NA,58,178,332,91,NA,498,849,989,636,NA,319,516,793,458,2171,1294,2920,3009,1518,1608,1546,2816,2492,1008,65.2,54.9,8482,100438,21515,171,21686,0.9921147283962003
53046,NA,11,37,52,16,NA,NA,23,44,NA,NA,43,81,91,35,NA,NA,56,82,NA,53,125,177,121,51,79,115,177,123,33,18.8,13.9,487,56771,924,183,1107,0.8346883468834688
53047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,18,15,5,0,7,26,14,0,2,21.4,42.9,15,126250,0,78,78,0
53048,NA,23,38,45,NA,NA,NA,35,38,NA,NA,65,85,78,NA,NA,NA,69,67,NA,240,267,438,211,142,232,440,476,287,114,15.3,16.6,1389,51725,0,3364,3364,0
53049,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,228,252,278,265,117,143,233,377,279,76,12.5,31.7,1069,83191,305,2146,2451,0.12443900448796409
53050,11,55,124,121,25,10,31,102,120,39,80,149,272,234,99,82,79,195,214,81,466,785,983,742,315,746,629,940,696,236,13.9,14.3,2827,54806,5134,1852,6986,0.7348983681649013
53051,80,379,851,1099,490,112,263,729,995,314,854,1573,2298,2493,1771,916,1066,1811,2111,1130,2903,3038,4856,4651,2267,2918,3180,4759,4042,1265,41.9,40.2,15011,76944,33459,2192,35651,0.9385150486662366
53057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,148,196,191,126,150,162,211,209,89,12,22.1,648,67174,0,1928,1928,0
53058,NA,NA,19,25,NA,NA,NA,NA,27,NA,NA,NA,57,75,NA,NA,NA,NA,61,NA,292,321,548,332,120,419,290,535,373,112,46.9,51.3,1482,92792,2679,564,3243,0.8260869565217391
53059,NA,NA,16,32,NA,NA,NA,21,29,NA,NA,NA,46,62,NA,NA,NA,43,51,NA,108,185,225,282,44,106,190,242,266,67,8.6,13.9,750,69886,0,1767,1767,0
53061,NA,19,66,48,NA,NA,23,46,55,NA,NA,86,145,118,NA,NA,56,114,108,NA,345,423,621,679,316,597,360,799,633,277,18.3,20.8,2170,54509,3171,2025,5196,0.6102771362586605
53063,NA,NA,13,NA,NA,NA,NA,20,14,NA,NA,NA,37,NA,NA,NA,NA,34,30,NA,135,104,206,235,45,121,118,230,238,33,15.1,22.4,642,67333,0,1552,1552,0
53065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,227,385,223,66,240,200,405,245,65,12.8,21.9,908,64342,0,2226,2226,0
53066,NA,67,NA,171,45,NA,NA,NA,205,46,NA,275,NA,539,148,NA,NA,NA,490,149,3053,2609,5431,3867,1326,3664,2754,5265,3806,825,43.1,41.3,13372,86343,25176,8654,33830,0.7441915459651197
53069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,68,146,16,37,43,61,150,16,47.5,66.7,353,115568,697,0,697,1
53070,11,45,96,108,44,13,37,86,127,31,92,162,225,257,119,89,101,178,235,97,461,389,606,634,222,476,399,576,715,168,27.1,27.5,1891,62956,2724,1989,4713,0.5779758115849777
53072,NA,81,221,257,81,NA,61,182,260,63,NA,382,704,762,293,NA,246,483,604,224,2413,2150,3708,3022,1065,2200,2189,3609,2760,785,50.1,46.4,10617,82032,23224,683,23907,0.9714309616430334
53073,40,123,289,318,73,48,79,255,306,52,242,452,703,709,210,241,320,560,645,155,1183,1394,2034,1676,710,1330,1359,2103,1600,597,26.3,31.1,6089,60744,8799,6958,15757,0.5584184806752555
53074,30,90,173,152,47,40,45,141,138,36,186,290,400,371,123,197,178,287,282,114,1132,1429,1716,1416,402,1050,1639,1768,1362,405,33.7,35.3,5408,64446,11419,1461,12880,0.8865683229813665
53075,NA,22,54,53,14,NA,20,49,64,15,NA,87,127,122,43,NA,64,100,134,48,275,261,441,341,107,284,256,489,413,78,18.3,25.3,1332,68304,0,3345,3345,0
53076,NA,37,94,110,20,NA,31,82,126,26,NA,148,277,253,70,NA,115,189,258,78,406,342,500,379,83,271,262,454,460,96,31.4,37.3,1232,103000,676,2972,3648,0.18530701754385964
53078,NA,25,25,41,NA,NA,NA,26,34,NA,NA,61,74,86,NA,NA,NA,56,74,NA,187,156,258,239,37,131,129,326,286,48,15.4,18.1,711,69934,0,1912,1912,0
53079,NA,NA,17,12,NA,NA,NA,NA,19,NA,NA,NA,37,32,NA,NA,NA,NA,37,NA,98,109,204,150,76,83,127,181,179,58,10.8,21.2,597,71797,0,1413,1413,0
53080,10,51,98,110,19,10,40,84,100,18,110,155,229,223,53,90,113,159,202,52,427,592,944,592,149,468,586,700,707,132,27.1,21.6,2330,59545,4151,1564,5715,0.726334208223972
53081,110,585,967,901,306,114,333,712,753,189,539,1551,2036,1763,933,486,983,1518,1536,602,3400,4924,5211,4340,2156,3725,5355,5646,4204,1227,18.9,18.5,18180,44181,42584,545,43129,0.9873634909225811
53083,33,207,402,466,121,54,135,339,408,117,205,684,992,1048,403,230,428,755,885,319,1756,1856,2875,2379,710,1975,1763,2897,2210,442,30.7,28.9,8111,67704,18841,1521,20362,0.9253020331990963
53085,21,109,235,296,89,25,72,226,317,68,152,380,569,644,252,134,269,459,595,181,1004,843,1577,1482,612,1013,821,1558,1318,391,20.6,21.9,5004,55579,7741,3526,11267,0.6870506789739949
53086,29,102,232,215,47,35,76,187,240,43,250,381,613,481,154,274,268,412,491,123,763,652,1282,846,235,823,743,1269,1026,176,29.3,32,3332,78796,5858,2397,8255,0.7096305269533616
53088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,43,55,52,19,32,59,48,58,26,9.9,8.2,183,57865,0,379,379,0
53089,35,140,378,429,127,50,109,319,412,96,423,681,1155,1006,402,459,457,798,884,333,1833,1487,3005,1978,601,1797,1652,2692,2074,425,36,37.8,7333,87106,16769,1799,18568,0.9031128823782852
53090,124,400,820,767,201,115,252,758,761,150,858,1236,1920,1658,575,824,859,1619,1542,447,1802,2172,3016,2557,575,1914,2114,3591,2266,460,19.5,24.2,8798,66385,15779,6094,21873,0.7213916700955516
53091,NA,29,45,54,13,NA,24,52,46,NA,NA,70,100,97,30,NA,57,91,97,NA,149,147,340,262,49,190,199,361,228,34,10,14.3,804,62333,0,2018,2018,0
53092,21,66,192,337,155,31,62,208,424,136,308,479,788,1175,693,308,294,529,1057,565,1583,1338,2712,3371,1427,1780,1365,2579,3160,843,69.3,54.3,8661,96627,19467,557,20024,0.9721833799440671
53093,NA,13,36,34,NA,NA,NA,40,44,NA,NA,64,76,64,NA,NA,NA,80,65,NA,150,181,308,258,40,190,183,284,271,31,26.3,22.1,768,80938,0,1981,1981,0
53094,NA,NA,164,175,49,NA,NA,NA,163,38,NA,NA,306,352,144,NA,NA,NA,300,102,1932,2421,2392,2019,648,1898,2104,2729,1654,473,16.9,24.7,7562,49514,15070,4099,19169,0.7861651625019563
53095,134,463,927,1105,442,159,327,920,1107,291,1043,1720,2367,2571,1461,1099,1227,2053,2323,961,2072,2218,3781,3252,1793,2619,2523,3636,3034,1038,31.3,29,11728,63157,20695,6444,27139,0.7625557316039647
53097,NA,26,61,85,26,12,20,57,101,22,NA,160,206,254,98,115,98,167,229,86,611,437,820,726,190,485,296,843,742,122,64.2,62.2,1990,107667,3198,3121,6319,0.5060927361924356
53098,NA,36,NA,120,57,NA,NA,NA,110,33,NA,92,NA,240,155,NA,NA,NA,210,93,1121,797,1643,1387,886,1027,1148,1709,1291,405,17.8,21.6,4634,54760,8278,3687,11965,0.6918512327622232
53103,NA,NA,24,29,NA,NA,NA,NA,43,NA,NA,NA,68,76,NA,NA,NA,NA,82,NA,283,273,521,520,106,328,289,581,573,128,22.7,32,1503,86809,2365,1359,3724,0.6350698174006445
