zip,obese_female_05-17,obese_female_18-34,obese_female_35-54,obese_female_55-74,obese_female_75-plus,obese_male_05-17,obese_male_18-34,obese_male_35-54,obese_male_55-74,obese_male_75-plus,bmi_female_05-17,bmi_female_18-34,bmi_female_35-54,bmi_female_55-74,bmi_female_75-plus,bmi_male_05-17,bmi_male_18-34,bmi_male_35-54,bmi_male_55-74,bmi_male_75-plus,pop_female_05-17,pop_female_18-34,pop_female_35-54,pop_female_55-74,pop_female_75-plus,pop_male_05-17,pop_male_18-34,pop_male_35-54,pop_male_55-74,pop_male_75-plus,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53181,NA,17,58,57,14,NA,21,NA,43,12,NA,81,139,135,43,NA,68,NA,108,30,692,581,1161,854,214,717,673,1160,711,211,22.2,24.2,2715,65168,6416,941,7357,0.8720946037787142
53182,NA,NA,NA,47,NA,NA,NA,NA,56,NA,NA,NA,NA,112,NA,NA,NA,NA,143,NA,880,1062,1597,1027,392,698,597,1617,1004,189,16.2,19.4,3321,66572,6335,3077,9412,0.6730769230769231
53183,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,253,222,461,355,28,280,344,433,406,41,41.6,46.6,1053,99095,2638,177,2815,0.9371225577264654
53184,NA,38,100,94,33,NA,31,102,85,21,NA,157,234,215,115,NA,120,196,179,74,341,429,571,424,183,570,421,604,418,119,23.3,28.4,1663,51377,3042,1229,4271,0.7122453757902131
53185,NA,NA,108,110,24,NA,NA,NA,129,30,NA,NA,309,293,64,NA,NA,NA,262,82,1644,1526,2813,2235,528,1712,1568,2734,2144,538,28.2,31.1,7053,86729,15078,3473,18551,0.8127863727022802
53186,NA,186,279,349,87,NA,NA,233,294,60,NA,617,716,786,283,NA,NA,530,657,220,2405,5304,4148,3463,1355,2579,5499,4156,2923,819,36,35.5,13821,57423,33592,0,33592,1
53188,NA,137,273,262,NA,NA,NA,NA,224,40,NA,491,681,627,NA,NA,NA,NA,501,123,2606,3940,4548,3693,1505,2685,4067,4830,3709,709,33.8,36.3,14444,66359,33848,1347,35195,0.9617275181133684
53189,NA,88,169,150,22,NA,NA,NA,154,14,NA,306,480,405,79,NA,NA,NA,355,71,2315,2564,3877,3096,708,2729,2331,3648,2831,607,38.2,37.7,9728,87062,20919,5309,26228,0.7975827360073204
53190,55,261,445,474,163,58,178,410,487,121,241,832,980,1077,520,239,653,797,1040,397,975,4605,1818,1216,601,1120,5206,1582,1366,283,31.1,36.6,6422,43339,14227,4973,19200,0.7409895833333333
53191,NA,22,44,57,27,NA,11,48,63,20,NA,101,148,207,95,NA,52,112,187,87,201,196,472,412,179,297,159,403,366,121,46.7,45.5,1194,63190,2601,241,2842,0.9152005629838142
53192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,0,81,0,0,10,0,0,0,0,50,NA,113,104,217,0.5207373271889401
53195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,9,19,0,0,0,17,38,0,12.2,10.7,55,52125,0,114,114,0
53202,NA,177,183,289,112,NA,135,185,236,79,NA,1338,653,734,469,NA,782,643,671,309,288,6836,1858,1984,1007,112,6985,2705,1928,491,64.6,70.3,15338,52441,23386,0,23386,1
53203,NA,15,17,18,NA,NA,NA,20,13,NA,NA,72,53,41,NA,NA,NA,59,36,NA,17,334,95,67,11,0,336,207,88,3,55.2,54.9,865,66161,938,0,938,1
53204,NA,NA,321,195,37,NA,NA,NA,154,15,NA,NA,538,341,77,NA,NA,NA,346,53,4777,5665,4702,2022,572,4800,5100,5526,2129,301,8.3,8.4,13047,28218,42355,0,42355,1
53205,NA,127,213,196,51,NA,35,90,85,12,NA,226,314,310,104,NA,116,190,221,40,1299,1491,1401,691,159,1184,1055,932,652,153,9.9,9.8,3435,23125,10050,0,10050,1
53206,NA,313,588,445,113,NA,102,310,233,48,NA,571,825,756,297,NA,302,617,596,154,3213,3744,3274,2306,710,3376,2542,2412,1954,534,4.2,7.6,8239,22877,28210,0,28210,1
53207,NA,257,421,379,59,NA,NA,395,297,40,NA,841,1138,850,169,NA,NA,898,630,139,2603,5257,5298,3495,1250,2465,4496,5587,3254,669,31.5,40.9,16525,58646,35149,0,35149,1
53208,NA,372,600,487,61,NA,150,369,308,35,NA,865,1166,979,207,NA,480,864,801,125,3115,4396,4160,2576,499,3037,3979,3504,2699,171,24.5,25.1,12304,31592,31133,0,31133,1
53209,NA,573,948,917,252,NA,191,527,472,119,NA,1096,1518,1618,689,NA,580,1028,1093,399,4983,5823,6054,4630,1730,4944,4873,4923,3498,934,20.7,21.1,18339,33395,46917,0,46917,1
53210,NA,332,578,490,67,NA,119,336,266,31,NA,757,980,862,192,NA,390,676,620,97,3100,3574,3794,2472,483,3223,2761,2956,1754,201,17.5,21.7,9703,34516,28126,0,28126,1
53211,16,224,282,417,148,20,NA,264,342,103,248,1181,1188,1380,613,257,NA,909,1087,396,1714,7663,3360,2886,993,1566,9284,3372,2598,632,64.2,70.1,14322,60195,35406,0,35406,1
53212,NA,340,517,506,100,NA,NA,313,303,34,NA,936,935,892,237,NA,NA,750,759,135,2663,5596,3737,2283,620,2888,5528,3619,2169,335,29.6,31.4,13146,33597,30416,0,30416,1
53213,25,222,470,498,143,NA,167,437,415,80,243,1331,1536,1380,602,NA,846,1149,1057,360,1981,3886,3490,2649,976,2085,3500,3377,2492,405,60.2,58.3,11519,73308,26020,0,26020,1
53214,58,373,675,617,125,80,215,489,426,82,286,1004,1288,1171,392,304,617,970,918,247,2442,4692,4120,3119,1478,2632,5353,4593,3409,667,21.4,24.6,15823,44343,34725,0,34725,1
53215,NA,NA,552,349,48,NA,NA,NA,228,26,NA,NA,977,611,173,NA,NA,NA,509,92,6857,8001,7969,3998,1406,7232,8622,8104,3613,670,7.4,11.2,19329,35803,60953,0,60953,1
53216,NA,431,750,734,126,NA,145,366,358,33,NA,844,1175,1219,350,NA,397,699,790,155,3398,4233,5279,3445,799,3434,3628,3526,2601,555,13.7,20.3,13196,34977,32264,0,32264,1
53217,NA,127,278,456,116,NA,98,317,464,116,NA,789,1270,1576,660,NA,508,986,1369,536,2586,2264,4180,3809,1419,2810,2181,3907,3272,1001,72.7,68.5,11668,100262,29192,0,29192,1
53218,NA,598,1003,706,119,NA,193,500,362,53,NA,1123,1446,1176,348,NA,573,866,797,208,4849,5430,6126,3346,812,5455,4711,4302,2566,577,10.4,13.4,14029,37692,40625,0,40625,1
53219,NA,261,533,463,100,NA,NA,336,321,57,NA,718,1011,933,318,NA,NA,691,704,173,2200,3910,4830,3911,1576,2703,4390,4691,3446,925,18.9,25.3,14963,52468,33880,0,33880,1
53220,NA,176,304,322,102,NA,NA,205,208,64,NA,467,649,665,304,NA,NA,427,440,191,1607,3250,3491,3061,1793,1722,2902,3201,2745,976,22.9,24.3,11557,48523,26303,0,26303,1
53221,NA,169,362,367,90,NA,NA,298,284,55,NA,509,728,729,252,NA,NA,603,549,200,3455,4601,4801,4219,1915,3760,4354,5341,3597,1146,21.7,24.1,15883,50645,37701,0,37701,1
53222,NA,318,614,518,126,37,145,369,390,69,NA,862,1266,1078,521,202,458,808,819,306,2114,2862,3827,2397,1279,1867,2969,3721,2017,681,36,40.8,11372,52811,25165,0,25165,1
53223,50,376,601,584,194,NA,145,368,359,100,233,804,1010,1097,582,NA,425,695,727,348,2168,3381,4112,3633,1607,2491,2305,3641,2825,896,28.3,26.7,12623,45973,29230,0,29230,1
53224,NA,408,578,492,105,NA,155,341,294,56,NA,883,1003,871,340,NA,456,664,620,189,2369,2932,2751,1731,623,2433,2378,2330,1710,282,24,26.1,7743,46766,21284,0,21284,1
53225,NA,489,731,504,142,NA,148,414,294,50,NA,987,1200,907,454,NA,452,795,662,253,2470,3853,3339,2099,1272,2886,2801,2794,1578,629,17.5,19.9,9706,42665,25706,0,25706,1
53226,16,226,336,394,150,22,141,297,311,104,151,995,1040,1033,687,171,616,814,794,418,1169,2566,2181,2121,1170,1294,2593,2115,1664,693,57.2,55.6,8271,71121,18370,0,18370,1
53227,NA,215,398,384,121,37,107,279,277,66,NA,625,767,777,374,178,341,563,587,201,1610,3070,3069,2581,1464,1422,2705,3080,2035,750,25,28.5,10976,48613,23357,0,23357,1
53228,NA,98,195,223,77,20,63,148,184,42,NA,374,441,502,260,114,218,337,413,137,967,1416,1604,2113,1103,1029,1553,1761,1717,552,30,31.5,6354,61839,14369,0,14369,1
53233,NA,NA,90,76,NA,NA,NA,69,77,13,NA,NA,142,136,NA,NA,NA,144,161,43,327,5346,706,442,76,366,5409,1403,596,88,21.3,22.9,4497,14920,16453,0,16453,1
53235,NA,50,94,105,17,NA,NA,77,67,NA,NA,140,199,198,67,NA,NA,158,129,NA,355,925,1518,1176,599,403,1041,1561,973,366,28.6,30.8,4537,41719,9270,0,9270,1
53295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0,0,4,0,21,82,84,24,15.8,0,0,NA,359,0,359,1
53402,NA,NA,NA,186,NA,NA,NA,NA,169,43,NA,NA,NA,440,NA,NA,NA,NA,377,123,2894,3288,4323,3882,1342,3043,3035,4355,3577,889,28.8,27.8,13257,58134,31625,1549,33174,0.9533068065352385
53403,NA,NA,NA,123,NA,NA,NA,NA,NA,17,NA,NA,NA,268,NA,NA,NA,NA,NA,52,2431,3000,3692,2479,885,2823,3279,3598,2517,433,19.4,20.6,10231,43411,27294,138,27432,0.9949693788276466
53404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1789,1924,1994,1084,496,1745,1980,1920,1088,272,13,14.9,5484,35013,15658,0,15658,1
53405,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,2206,3022,3237,2825,915,2358,2753,2981,2371,604,21.6,20.3,9815,52978,25193,0,25193,1
53406,NA,NA,NA,156,NA,NA,NA,NA,NA,32,NA,NA,NA,373,NA,NA,NA,NA,NA,113,2149,2211,3782,3538,1518,1886,2210,3288,3001,991,30.2,30.7,11050,64478,25056,789,25845,0.9694718514219385
53501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,49,0,0,92,0,48,0,0,0,0,65,NA,0,23,23,0
53502,31,75,150,157,33,41,70,117,180,26,166,213,310,330,91,167,172,252,343,83,236,247,299,313,92,223,263,367,283,59,14.6,20,1003,51701,0,2421,2421,0
53503,11,44,70,55,NA,16,16,60,63,NA,51,91,157,125,NA,67,45,107,135,NA,173,179,205,245,77,184,186,284,224,66,16.2,23.4,811,55655,0,1947,1947,0
53504,20,57,101,95,32,23,25,84,110,35,112,159,196,205,85,102,101,156,209,79,182,124,277,242,94,158,151,299,264,86,14.2,20.9,818,51500,0,2084,2084,0
53505,NA,NA,NA,18,NA,NA,NA,19,19,NA,NA,NA,NA,37,NA,NA,NA,32,37,NA,42,44,80,44,19,65,35,65,72,13,7.4,28.1,169,62321,0,354,354,0
53506,NA,22,18,34,13,NA,NA,19,34,NA,NA,37,41,69,31,NA,NA,32,68,NA,68,77,125,158,51,106,76,178,137,36,10.6,16.1,437,42396,0,1125,1125,0
53507,13,49,101,105,20,28,28,108,106,11,125,169,238,228,56,143,84,190,209,36,200,199,320,230,46,268,193,417,216,38,27.9,31.9,858,81406,0,2196,2196,0
53508,66,118,313,251,58,54,72,268,275,57,369,433,716,569,168,387,265,566,576,151,500,570,794,506,116,601,542,905,495,101,29.2,34.3,2068,82778,0,5262,5262,0
53510,NA,NA,16,25,NA,NA,NA,NA,18,NA,NA,NA,31,50,NA,NA,NA,NA,35,NA,153,200,193,160,68,153,171,158,166,38,19.2,20.7,591,60302,0,1482,1482,0
53511,NA,781,1244,983,155,NA,312,823,779,95,NA,1733,2222,1828,448,NA,928,1574,1537,337,4766,5353,6339,5400,1965,4398,5658,5883,4826,1280,14.8,18.3,18895,43055,43775,5154,48929,0.8946636963763821
53515,14,43,86,100,20,19,25,90,136,27,83,129,205,240,61,98,96,184,268,58,156,181,331,262,130,146,231,304,285,81,28.8,33.7,955,67454,1269,999,2268,0.5595238095238095
53516,19,52,124,127,37,33,37,112,149,31,118,130,242,260,86,165,106,192,289,74,228,173,331,291,72,227,165,319,320,55,22.4,32.9,927,66098,0,2152,2152,0
53517,15,27,82,100,22,20,21,62,117,12,128,125,203,218,48,130,75,170,251,39,164,129,238,192,55,164,136,283,258,36,33.1,33.5,704,76447,0,1752,1752,0
53518,NA,14,21,54,NA,NA,NA,26,46,10,NA,40,47,93,NA,NA,NA,59,91,36,91,94,138,189,61,126,89,202,179,54,12.9,21.9,599,47981,0,1330,1330,0
53520,72,222,383,439,136,61,156,368,445,104,385,599,778,855,353,379,434,668,814,261,460,537,915,829,334,533,612,927,835,247,17.7,17.4,2625,57227,3506,3304,6810,0.5148311306901615
53521,32,72,196,183,30,50,63,178,223,34,249,278,449,452,81,270,203,365,478,88,380,339,498,464,68,330,282,612,440,83,27.8,37.3,1464,85305,1424,2232,3656,0.38949671772428884
53522,17,35,63,91,NA,22,27,52,104,NA,71,87,113,168,NA,73,57,116,182,NA,77,93,169,131,22,71,91,174,144,26,10.9,21.3,434,55952,0,1085,1085,0
53523,20,60,168,233,63,27,53,172,221,44,170,235,425,546,173,190,180,344,448,130,271,347,636,720,233,352,362,655,767,123,30.4,37.1,2033,78705,2577,2372,4949,0.5207112547989493
53525,11,54,119,98,19,NA,43,70,87,13,38,147,217,191,52,NA,111,127,165,37,371,332,502,463,165,458,440,569,453,98,14.9,23.1,1485,65718,0,4052,4052,0
53526,NA,NA,13,20,NA,NA,NA,NA,21,NA,NA,NA,32,35,NA,NA,NA,NA,34,NA,51,60,104,58,21,63,78,105,37,27,18.6,23.1,253,52589,0,565,565,0
53527,92,155,452,402,87,103,135,472,422,64,738,739,1265,924,283,777,507,1064,894,186,1185,978,1861,982,148,1214,1026,1709,985,109,39.3,38.8,3795,92882,6987,2976,9963,0.701294790725685
53528,32,115,268,250,64,61,80,257,315,58,403,435,676,660,196,423,296,596,652,160,510,454,889,727,179,595,509,746,727,134,35.6,39.4,2335,86301,3575,2159,5734,0.6234740146494594
53529,NA,33,97,86,16,21,35,99,74,22,NA,149,211,160,46,113,116,180,158,57,143,291,267,191,44,214,372,327,231,49,19.2,27.2,801,80625,0,2031,2031,0
53530,24,59,117,125,36,23,34,93,153,42,106,147,207,255,96,96,87,147,258,97,421,430,571,469,211,496,562,603,448,177,15,19.8,1820,54375,0,4566,4566,0
53531,39,90,222,191,42,27,63,211,204,31,259,326,503,410,94,249,208,413,383,81,369,309,726,498,84,443,475,858,502,77,25,36.4,1679,79421,0,4338,4338,0
53532,96,327,733,701,138,155,216,701,607,115,966,1113,1797,1457,440,971,682,1391,1215,329,1519,1499,2153,1393,483,1212,1362,1953,1434,303,38,34.8,5490,78401,10795,2811,13606,0.7933999706012054
53533,39,119,262,292,76,36,74,196,274,57,242,364,566,577,259,257,207,387,536,169,649,677,1035,904,340,616,693,808,977,194,20.6,26,2959,62128,4756,2520,7276,0.6536558548653106
53534,86,312,624,659,162,85,196,569,619,152,442,908,1323,1346,507,493,606,1098,1197,402,843,1114,1509,1512,486,792,1184,1810,1438,371,16.3,26.1,4900,65915,7208,4304,11512,0.626129256428075
53536,71,253,516,442,109,80,147,484,426,83,517,751,1177,864,308,520,484,925,819,224,821,846,1399,774,346,913,685,1292,833,246,24.6,26.3,3449,65262,5669,2834,8503,0.666705868516994
53537,NA,15,42,43,19,NA,10,40,39,NA,NA,54,76,87,48,NA,32,62,66,NA,23,38,78,109,37,50,43,72,129,20,2.4,22.4,292,48917,0,781,781,0
53538,81,277,628,823,218,95,183,549,728,173,414,724,1329,1624,618,423,511,1101,1393,450,1395,1839,2594,2270,766,1767,1585,2740,2139,549,19,25.9,7513,55340,13192,5276,18468,0.7143166558371237
53540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,39,23,19,8,28,21,29,0,8.2,16.9,116,36364,0,169,169,0
53541,10,20,39,39,NA,NA,NA,34,50,NA,45,50,59,93,NA,NA,NA,51,82,NA,52,69,80,114,57,47,44,96,118,33,10.2,17.6,368,63833,0,861,861,0
53543,NA,14,51,57,15,NA,12,31,59,11,NA,59,102,94,42,NA,40,60,103,37,168,140,225,161,70,143,182,224,191,58,16.4,20.7,724,53750,0,1641,1641,0
53544,NA,21,32,40,NA,NA,14,36,62,NA,NA,46,71,92,NA,NA,35,62,98,NA,31,72,99,94,28,58,70,101,131,30,18.5,28.8,291,67813,0,800,800,0
53545,94,728,1283,1263,339,102,449,1059,1040,237,542,2131,2738,2767,1124,548,1427,2184,2168,789,1816,2616,2843,2581,1108,1813,2961,3155,2036,571,24.7,24,9796,49359,21212,1905,23117,0.9175931132932474
53546,130,905,1729,1698,475,154,545,1479,1497,338,709,2663,3644,3530,1380,735,1790,2866,2893,1033,2845,3556,4721,2944,1188,2950,2811,4344,3014,882,20.4,22.9,12500,62500,27892,2756,30648,0.9100756982511093
53548,99,655,1016,965,233,99,349,812,884,172,437,1645,2121,2044,685,476,1021,1675,1781,533,1405,1866,2568,2054,720,1711,1845,2372,1941,436,17,21.3,7569,50724,15136,3422,18558,0.8156051298631318
53549,23,104,243,315,90,31,49,190,233,73,153,287,472,578,236,156,153,333,455,174,769,891,1416,1178,559,892,974,1329,1178,289,21.4,18.1,4079,54603,7913,2501,10414,0.7598425196850394
53550,18,42,80,87,NA,21,27,73,76,NA,90,110,159,153,NA,79,80,139,147,NA,103,95,200,119,29,115,130,226,131,18,4.5,12.6,414,60000,0,1239,1239,0
53551,34,70,166,182,66,32,51,116,180,49,192,254,390,435,160,178,172,267,368,132,987,622,1292,895,330,695,759,1201,906,274,35.3,36.7,3405,69227,6581,1692,8273,0.7954792699141786
53553,NA,NA,NA,22,NA,NA,NA,NA,18,NA,NA,NA,NA,38,NA,NA,NA,NA,32,NA,26,72,78,63,13,60,52,73,55,7,5,11.1,220,42500,0,624,624,0
53554,NA,NA,22,23,NA,NA,NA,18,20,NA,NA,NA,45,53,NA,NA,NA,33,46,NA,149,118,136,116,48,168,116,150,98,51,15.5,20.5,414,54500,0,1134,1134,0
53555,39,103,269,314,81,45,65,255,330,52,260,382,689,723,242,279,225,489,700,193,866,616,1435,967,358,770,515,1296,1091,242,30.6,34.2,3512,73913,3014,5451,8465,0.35605434140578857
53556,NA,25,43,69,19,12,15,41,63,NA,NA,62,104,118,43,45,50,76,119,NA,162,221,392,323,61,241,227,364,342,78,9.8,14.1,1138,48125,0,2594,2594,0
53557,NA,NA,17,24,NA,NA,NA,NA,19,NA,NA,NA,32,36,NA,NA,NA,NA,36,NA,34,18,93,48,21,38,41,70,55,10,13,11.1,156,47188,0,482,482,0
53558,65,201,506,510,105,92,148,475,575,107,741,869,1441,1375,366,815,586,1108,1288,292,965,966,1710,1425,306,937,1002,1840,1353,226,42.1,50.2,4638,90333,9935,807,10742,0.9248743250791287
53559,43,146,332,286,48,78,94,267,277,43,330,436,664,534,155,368,275,490,539,122,605,467,998,601,96,695,465,880,678,145,14.2,21.1,2229,71498,3834,2229,6063,0.632360217714003
53560,18,57,144,142,15,26,47,110,134,31,130,184,323,298,68,134,147,213,298,74,324,337,507,453,93,265,330,532,442,73,26.1,30.3,1496,67357,1687,1771,3458,0.48785425101214575
53561,NA,11,43,79,16,10,NA,31,82,24,NA,55,91,190,61,44,NA,72,170,59,62,103,227,322,74,62,121,208,286,75,25.6,26.7,800,73194,0,1618,1618,0
53562,149,470,866,934,272,224,298,812,967,187,1739,2139,3055,2927,1096,1816,1443,2332,2513,787,2211,2783,3476,3025,844,1990,2608,2999,2885,710,60.8,60.6,10978,79240,21718,1909,23627,0.9192026071866932
53563,55,258,563,637,162,67,176,494,624,113,286,859,1258,1347,452,286,555,1010,1196,297,866,989,1430,1374,269,1130,972,1532,1262,204,25.3,31.7,4314,69955,6766,3962,10728,0.6306860551826995
53565,NA,49,115,167,38,24,31,94,175,39,NA,140,256,351,139,115,106,191,316,106,523,333,722,550,238,415,360,734,570,115,23.6,28.7,2058,57798,0,4765,4765,0
53566,228,510,906,1047,352,235,322,779,910,231,1175,1473,1823,2074,1042,1171,1085,1551,1864,670,1274,1426,2044,1813,949,1221,1489,1709,1779,554,21,22.7,6492,50778,10883,4334,15217,0.7151869619504502
53569,NA,11,32,36,NA,NA,13,23,32,NA,NA,42,55,72,NA,NA,32,32,69,NA,90,122,167,127,38,87,113,133,132,48,21.2,20.3,488,56500,0,1155,1155,0
53570,35,59,169,191,43,39,31,146,210,42,184,216,358,379,117,180,131,260,359,100,260,178,382,320,80,252,225,460,367,41,16.7,21.3,1126,64904,0,2627,2627,0
53571,NA,NA,18,NA,NA,NA,NA,19,NA,NA,NA,NA,38,NA,NA,NA,NA,38,NA,NA,20,15,63,15,0,83,31,55,15,0,37.7,48.8,98,98929,0,280,280,0
53572,87,181,467,406,119,85,118,442,420,93,702,744,1289,1043,381,721,497,995,938,246,1005,755,1582,951,437,1174,730,1816,963,255,45.3,40.5,4089,74087,6997,2973,9970,0.7018054162487463
53573,19,29,77,74,25,NA,24,52,105,20,69,74,132,151,73,NA,51,97,163,66,255,297,437,351,171,270,321,449,352,157,12,15.2,1291,46250,0,3062,3062,0
53574,29,84,182,200,57,52,61,198,208,55,293,309,545,483,197,345,221,436,432,154,384,247,599,429,193,378,283,602,420,146,33.9,36.2,1499,74181,0,3877,3877,0
53575,107,303,699,788,134,142,218,657,763,118,1094,1201,2009,1852,462,1187,864,1533,1629,322,1761,972,2606,1610,412,1420,1901,2786,1570,278,37.7,43.4,5907,92274,9635,5859,15494,0.6218536207564218
53576,15,66,136,113,21,21,41,118,123,22,69,175,262,227,61,77,114,212,229,54,228,198,322,265,54,267,276,371,255,59,14.7,26.9,904,59565,0,2319,2319,0
53577,NA,14,26,33,NA,NA,NA,22,46,16,NA,37,60,67,NA,NA,NA,40,82,31,102,112,194,154,67,121,163,188,174,71,16.6,21,581,62266,0,1371,1371,0
53578,15,59,128,183,39,21,31,115,175,34,137,209,323,364,152,125,119,207,344,115,521,441,782,669,332,676,546,968,661,172,33.7,33,2570,67034,3972,1952,5924,0.6704929101958136
53579,NA,17,44,70,20,NA,12,44,66,NA,NA,48,80,134,45,NA,31,78,112,NA,150,122,240,209,41,148,127,286,200,49,9.7,11,714,56250,0,1760,1760,0
53580,NA,NA,NA,14,NA,NA,NA,NA,17,NA,NA,NA,NA,32,NA,NA,NA,NA,30,NA,53,49,82,56,9,56,50,99,74,15,20.1,21,209,56875,0,564,564,0
53581,21,69,153,223,44,33,36,104,180,44,125,172,294,408,169,148,108,199,341,122,821,965,1196,1276,697,885,1015,1288,1296,424,18.2,22.7,4438,47500,5021,5678,10699,0.46929619590615945
53582,10,25,44,37,19,NA,15,38,35,NA,40,70,85,92,39,NA,41,64,98,NA,86,80,153,102,45,66,84,154,132,39,15,21.5,465,57750,0,1079,1079,0
53583,20,56,129,174,45,20,37,109,156,50,128,202,305,375,160,138,114,218,306,133,440,538,892,550,299,497,604,802,647,154,22,24.4,2301,70152,3761,1986,5747,0.6544283974247433
53585,NA,32,70,76,21,NA,32,57,57,NA,NA,93,138,148,53,NA,76,99,109,NA,186,237,299,238,66,192,231,288,228,65,10.3,14.6,883,50365,0,2215,2215,0
53586,15,24,53,57,15,NA,18,31,53,14,57,43,87,103,40,NA,34,55,85,35,155,169,306,263,118,198,191,328,293,78,13.1,19.5,920,53750,0,2284,2284,0
53587,NA,29,51,69,27,14,26,46,75,16,NA,85,97,127,58,83,73,84,141,44,104,108,144,146,51,114,121,164,145,45,12.6,12.3,502,55313,0,1290,1290,0
53588,NA,29,85,112,41,16,20,69,116,31,NA,113,203,281,111,85,60,124,266,94,326,295,534,545,218,344,331,550,537,175,29.5,31.2,1749,60377,0,4077,4077,0
53589,168,483,1023,1044,222,227,290,865,1035,197,1358,1582,2401,2324,828,1378,1035,1811,2071,599,1381,1840,2836,2324,1008,1671,1913,2610,2413,656,33.2,32.9,7913,71051,15521,3906,19427,0.7989396201163329
53590,358,1041,2059,1710,348,441,589,1778,1490,247,2774,3441,4844,3645,1127,2911,2038,3764,2972,705,4033,4500,5349,3522,1043,3666,4024,5285,3180,526,41.3,42.4,15350,72317,32721,3573,36294,0.9015539758637792
53593,103,356,829,784,184,199,323,801,815,137,1677,2000,3015,2405,686,1867,1478,2199,2183,476,1971,1711,3562,2085,571,2372,1684,3278,2206,222,63.8,62.7,8837,99578,14872,4353,19225,0.7735760728218466
53594,29,98,180,179,42,35,43,170,197,39,151,254,365,358,116,184,138,298,373,95,485,435,858,491,155,384,583,710,663,148,15,21.2,2123,75306,3059,2085,5144,0.5946734059097978
53597,116,302,755,774,227,145,208,761,842,167,1500,1305,2455,1934,761,1541,899,1894,1781,528,1831,1106,2877,1975,611,2088,1283,2666,1705,625,47.1,48.7,6944,98519,13713,3131,16844,0.8141177867489907
53598,29,83,158,109,20,27,58,168,125,NA,203,286,377,267,58,212,176,332,251,NA,223,318,336,258,102,149,325,414,279,16,45.5,35.9,1008,74244,2043,468,2511,0.8136200716845878
53599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,8,7,4,12,7,8,12,2,0,0,23,31528,0,69,69,0
53702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,20,0,0,0,0,19,0,0,13,NA,50,0,50,1
53703,14,410,269,297,79,25,327,284,263,37,188,3188,979,967,351,191,2515,1050,1011,258,260,11162,1451,1136,338,508,10376,2176,1417,129,66.3,69.8,15383,36631,27958,0,27958,1
53704,366,1306,2141,2061,344,412,741,1571,1579,237,2018,4149,4977,4734,1225,2158,2751,3947,3848,829,2891,6112,6694,4685,1321,2920,6226,6268,4098,733,41.6,43.6,20525,55758,43785,249,44034,0.9943452786483172
53705,57,330,505,666,238,93,220,407,553,132,855,2073,1929,2503,1348,989,1421,1486,2036,918,1355,3443,2982,2869,1320,1273,3763,2622,2009,865,76.8,75.4,11818,65385,23494,0,23494,1
53706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2961,0,0,0,53,3241,0,0,0,44.4,100,112,12333,5133,0,5133,1
53711,327,1085,1664,1866,456,413,652,1366,1598,300,2641,4123,4781,5369,1709,2623,2722,3696,4434,1225,3451,5594,6241,5524,1470,4094,5174,6322,4835,960,61.7,57.9,20204,74725,43576,2152,45728,0.9529391182645206
53713,290,966,1158,768,123,395,447,754,525,68,1391,2501,2219,1544,371,1468,1534,1688,1316,225,2115,3907,2900,1510,257,2248,4384,2861,1396,176,28.1,28.5,9963,38843,22138,8,22146,0.9996387609500587
53714,146,443,849,797,136,161,249,627,644,115,728,1344,1752,1715,531,800,913,1451,1415,333,1293,2190,2188,1654,710,1275,2142,2282,1414,418,31.5,30.8,7369,56148,16463,0,16463,1
53715,22,120,152,196,27,27,93,142,177,21,168,819,451,505,121,168,634,443,506,81,264,4632,627,518,57,279,6030,829,476,65,56.6,58.2,5296,30019,12136,0,12136,1
53716,120,404,899,944,261,142,273,689,827,162,854,1421,2102,2269,967,903,977,1609,1857,628,956,1955,2433,2367,835,1471,2043,2514,2138,536,40.6,43.8,8086,67268,18419,0,18419,1
